element,system,code,display,occurrences
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N85.02,Endometrial intraepithelial neoplasia [EIN],31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N97.9,"Female infertility, unspecified",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O03.1,Delayed or excessive hemorrhage following incomplete spontaneous abortion,31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O99.834,Other infection carrier state complicating childbirth,31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Q04.8,Other specified congenital malformations of brain,31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Q85.8,"Other phakomatoses, not elsewhere classified",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R19.01,"Right upper quadrant abdominal swelling, mass and lump",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R40.2413,"Glasgow coma scale score 13-15, at hospital admission",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S02.622A,"Fracture of subcondylar process of left mandible, initial encounter for closed fracture",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S09.12XA,"Laceration of muscle and tendon of head, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S12.401A,"Unspecified nondisplaced fracture of fifth cervical vertebra, initial encounter for closed fracture",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S27.892A,"Contusion of other specified intrathoracic organs, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S72.352A,"Displaced comminuted fracture of shaft of left femur, initial encounter for closed fracture",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S80.862A,"Insect bite (nonvenomous), left lower leg, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S86.812A,"Strain of other muscle(s) and tendon(s) at lower leg level, left leg, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S99.821A,"Other specified injuries of right foot, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T44.7X2A,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T45.526A,"Underdosing of antithrombotic drugs, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T46.1X6A,"Underdosing of calcium-channel blockers, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T47.3X5A,"Adverse effect of saline and osmotic laxatives, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T65.891A,"Toxic effect of other specified substances, accidental (unintentional), initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T78.05XA,"Anaphylactic reaction due to tree nuts and seeds, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T84.623A,"Infection and inflammatory reaction due to internal fixation device of left tibia, initial encounter",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z91.040,Latex allergy status,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,032.9,"Diphtheria, unspecified",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,164.0,Malignant neoplasm of thymus,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,209.30,"Malignant poorly differentiated neuroendocrine carcinoma, any site",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,277.89,Other specified disorders of metabolism,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,287.2,Other nonthrombocytopenic purpuras,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,305.71,"Amphetamine or related acting sympathomimetic abuse, continuous",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,312.34,Intermittent explosive disorder,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,327.42,REM sleep behavior disorder,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,343.0,Congenital diplegia,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,354.1,Other lesion of median nerve,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,367.4,Presbyopia,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,378.52,"Third or oculomotor nerve palsy, total",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,389.00,"Conductive hearing loss, unspecified",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,451.9,Phlebitis and thrombophlebitis of unspecified site,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,453.77,Chronic venous embolism and thrombosis of other thoracic veins,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,525.10,"Acquired absence of teeth, unspecified",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,564.01,Slow transit constipation,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,573.4,Hepatic infarction,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,601.2,Abscess of prostate,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,610.1,Diffuse cystic mastopathy,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,642.93,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,655.83,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, antepartum condition or complication",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,659.41,"Grand multiparity, delivered, with or without mention of antepartum condition",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,666.32,"Postpartum coagulation defects, delivered, with mention of postpartum complication",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,669.23,"Maternal hypotension syndrome, antepartum condition or complication",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,718.46,"Contracture of joint, lower leg",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,719.02,"Effusion of joint, upper arm",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,719.58,"Stiffness of joint, not elsewhere classified, other specified sites",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,721.41,"Spondylosis with myelopathy, thoracic region",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,730.04,"Acute osteomyelitis, hand",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,806.20,Closed fracture of T1-T6 level with unspecified spinal cord injury,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,813.02,Closed fracture of coronoid process of ulna,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,814.00,"Closed fracture of carpal bone, unspecified",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,823.10,Open fracture of upper end of tibia alone,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,916.2,"Blister of hip, thigh, leg, and ankle, without mention of infection",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,967.0,Poisoning by barbiturates,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,971.1,Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,994.8,Electrocution and nonfatal effects of electric current,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,996.40,"Unspecified mechanical complication of internal orthopedic device, implant, and graft",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E886.9,"Other and unspecified falls on same level from collision, pushing, or shoving, by or with other person",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E920.2,Accidents caused by powered household appliances and implements,31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E943.3,"Other cathartics, including intestinal atonia drugs, causing adverse effects in therapeutic use",31
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V90.10,"Retained metal fragments, unspecified",31
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,B02.21,Postherpetic geniculate ganglionitis,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,C15.4,Malignant neoplasm of middle third of esophagus,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,C83.00,"Small cell B-cell lymphoma, unspecified site",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,D68.1,Hereditary factor XI deficiency,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F11.99,"Opioid use, unspecified with unspecified opioid-induced disorder",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F12.129,"Cannabis abuse with intoxication, unspecified",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F31.64,"Bipolar disorder, current episode mixed, severe, with psychotic features",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F64.1,Gender identity disorder in adolescence and adulthood,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F89,Unspecified disorder of psychological development,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I50.813,Acute on chronic right heart failure,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I82.290,Acute embolism and thrombosis of other thoracic veins,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I97.121,Postprocedural cardiac arrest following other surgery,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I97.52,Accidental puncture and laceration of a circulatory system organ or structure during other procedure,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J12.1,Respiratory syncytial virus pneumonia,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J70.0,Acute pulmonary manifestations due to radiation,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J98.51,Mediastinitis,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K13.70,Unspecified lesions of oral mucosa,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K57.00,Diverticulitis of small intestine with perforation and abscess without bleeding,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K76.3,Infarction of liver,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K82.A2,Perforation of gallbladder in cholecystitis,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K83.3,Fistula of bile duct,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L02.811,"Cutaneous abscess of head [any part, except face]",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L24.89,Irritant contact dermatitis due to other agents,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L89.319,"Pressure ulcer of right buttock, unspecified stage",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L89.324,"Pressure ulcer of left buttock, stage 4",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L89.622,"Pressure ulcer of left heel, stage 2",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L97.509,Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M19.031,"Primary osteoarthritis, right wrist",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M19.032,"Primary osteoarthritis, left wrist",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M24.411,"Recurrent dislocation, right shoulder",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M43.12,"Spondylolisthesis, cervical region",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M50.02,"Cervical disc disorder with myelopathy, mid-cervical region",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M62.08,"Separation of muscle (nontraumatic), other site",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N49.3,Fournier gangrene,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O11.3,"Pre-existing hypertension with pre-eclampsia, third trimester",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O72.3,Postpartum coagulation defects,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O99.113,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, third trimester",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Q21.0,Ventricular septal defect,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Q43.8,Other specified congenital malformations of intestine,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R14.2,Eructation,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R19.8,Other specified symptoms and signs involving the digestive system and abdomen,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R22.31,"Localized swelling, mass and lump, right upper limb",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R43.2,Parageusia,30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R78.89,"Finding of other specified substances, not normally found in blood",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S06.369A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S36.899A,"Unspecified injury of other intra-abdominal organs, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S37.012A,"Minor contusion of left kidney, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S72.031A,"Displaced midcervical fracture of right femur, initial encounter for closed fracture",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S72.032A,"Displaced midcervical fracture of left femur, initial encounter for closed fracture",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S82.001A,"Unspecified fracture of right patella, initial encounter for closed fracture",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S82.145A,"Nondisplaced bicondylar fracture of left tibia, initial encounter for closed fracture",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S82.301A,"Unspecified fracture of lower end of right tibia, initial encounter for closed fracture",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S82.451A,"Displaced comminuted fracture of shaft of right fibula, initial encounter for closed fracture",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T16.1XXA,"Foreign body in right ear, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T18.198A,"Other foreign object in esophagus causing other injury, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T37.1X5A,"Adverse effect of antimycobacterial drugs, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T43.292A,"Poisoning by other antidepressants, intentional self-harm, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T43.591A,"Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T81.4XXD,"Infection following a procedure, subsequent encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T84.040A,"Periprosthetic fracture around internal prosthetic right hip joint, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,V18.4XXA,"Pedal cycle driver injured in noncollision transport accident in traffic accident, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,V89.2XXD,"Person injured in unspecified motor-vehicle accident, traffic, subsequent encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,W88.1XXA,"Exposure to radioactive isotopes, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,X08.8XXA,"Exposure to other specified smoke, fire and flames, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,X10.0XXA,"Contact with hot drinks, initial encounter",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z63.8,Other specified problems related to primary support group,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,041.2,Pneumococcus infection in conditions classified elsewhere and of unspecified site,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,054.3,Herpetic meningoencephalitis,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,202.03,"Nodular lymphoma, intra-abdominal lymph nodes",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,216.5,"Benign neoplasm of skin of trunk, except scrotum",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,225.1,Benign neoplasm of cranial nerves,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,233.1,Carcinoma in situ of cervix uteri,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,239.5,Neoplasm of unspecified nature of other genitourinary organs,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,246.2,Cyst of thyroid,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,287.1,Qualitative platelet defects,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,290.12,Presenile dementia with delusional features,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,292.85,Drug induced sleep disorders,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,294.0,Amnestic disorder in conditions classified elsewhere,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,306.1,Respiratory malfunction arising from mental factors,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,307.42,Persistent disorder of initiating or maintaining sleep,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,307.47,Other dysfunctions of sleep stages or arousal from sleep,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,365.22,Acute angle-closure glaucoma,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,410.61,"True posterior wall infarction, initial episode of care",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,424.3,Pulmonary valve disorders,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,473.2,Chronic ethmoidal sinusitis,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,648.14,"Thyroid dysfunction of mother, postpartum condition or complication",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,649.51,"Spotting complicating pregnancy, delivered, with or without mention of antepartum condition",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,661.93,"Unspecified abnormality of labor, antepartum condition or complication",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,707.9,Chronic ulcer of unspecified site,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,712.26,"Chondrocalcinosis, due to pyrophosphate crystals, lower leg",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,715.00,"Osteoarthrosis, generalized, site unspecified",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,715.15,"Osteoarthrosis, localized, primary, pelvic region and thigh",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,715.93,"Osteoarthrosis, unspecified whether generalized or localized, forearm",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,727.3,Other bursitis,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,728.9,"Unspecified disorder of muscle, ligament, and fascia",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,737.43,Scoliosis associated with other conditions,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,742.3,Congenital hydrocephalus,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,842.13,Sprain of interphalangeal (joint) of hand,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,910.6,"Superficial foreign body (splinter) of face, neck, and scalp except eye, without major open wound and without mention of infection",30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,915.8,Other and unspecified superficial injury of fingers without mention of infection,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,958.2,Secondary and recurrent hemorrhage,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,972.0,Poisoning by cardiac rhythm regulators,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,995.61,Anaphylactic reaction due to peanuts,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E999.0,Late effect of injury due to war operations,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V45.69,Other states following surgery of eye and adnexa,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V53.09,Fitting and adjustment of other devices related to nervous system and special senses,30
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V58.78,"Aftercare following surgery of the musculoskeletal system, NEC",30
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,C90.30,Solitary plasmacytoma not having achieved remission,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,D72.820,Lymphocytosis (symptomatic),29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,D73.3,Abscess of spleen,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E83.9,"Disorder of mineral metabolism, unspecified",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E88.1,"Lipodystrophy, not elsewhere classified",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F55.2,Abuse of laxatives,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F88,Other disorders of psychological development,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F90.0,"Attention-deficit hyperactivity disorder, predominantly inattentive type",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G21.19,Other drug induced secondary parkinsonism,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G25.89,Other specified extrapyramidal and movement disorders,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G43.919,"Migraine, unspecified, intractable, without status migrainosus",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G62.2,Polyneuropathy due to other toxic agents,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G81.93,"Hemiplegia, unspecified affecting right nondominant side",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G83.89,Other specified paralytic syndromes,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G95.0,Syringomyelia and syringobulbia,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,H34.11,"Central retinal artery occlusion, right eye",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,H46.8,Other optic neuritis,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,H53.452,"Other localized visual field defect, left eye",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,H92.09,"Otalgia, unspecified ear",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I69.31,Cognitive deficits following cerebral infarction,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I70.208,"Unspecified atherosclerosis of native arteries of extremities, other extremity",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I82.811,Embolism and thrombosis of superficial veins of right lower extremities,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J05.10,Acute epiglottitis without obstruction,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J18.0,"Bronchopneumonia, unspecified organism",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J43.8,Other emphysema,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J70.5,Respiratory conditions due to smoke inhalation,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J93.11,Primary spontaneous pneumothorax,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K60.4,Rectal fistula,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K63.0,Abscess of intestine,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K91.72,Accidental puncture and laceration of a digestive system organ or structure during other procedure,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K91.871,Postprocedural hematoma of a digestive system organ or structure following other procedure,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L03.112,Cellulitis of left axilla,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L03.818,Cellulitis of other sites,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L52,Erythema nodosum,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,L89.893,"Pressure ulcer of other site, stage 3",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M31.31,Wegener's granulomatosis with renal involvement,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M50.023,Cervical disc disorder at C6-C7 level with myelopathy,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M62.84,Sarcopenia,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M65.142,"Other infective (teno)synovitis, left hand",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M66.0,Rupture of popliteal cyst,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M71.9,"Bursopathy, unspecified",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M75.31,Calcific tendinitis of right shoulder,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M84.550A,"Pathological fracture in neoplastic disease, pelvis, initial encounter for fracture",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M84.551A,"Pathological fracture in neoplastic disease, right femur, initial encounter for fracture",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N35.919,"Unspecified urethral stricture, male, unspecified site",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N39.44,Nocturnal enuresis,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N48.6,Induration penis plastica,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O10.02,Pre-existing essential hypertension complicating childbirth,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O30.042,"Twin pregnancy, dichorionic/diamniotic, second trimester",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O32.4XX0,"Maternal care for high head at term, not applicable or unspecified",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O71.6,Obstetric damage to pelvic joints and ligaments,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O75.3,Other infection during labor,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O86.4,Pyrexia of unknown origin following delivery,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O98.812,"Other maternal infectious and parasitic diseases complicating pregnancy, second trimester",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,O99.281,"Endocrine, nutritional and metabolic diseases complicating pregnancy, first trimester",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Q96.9,"Turner's syndrome, unspecified",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R40.2122,"Coma scale, eyes open, to pain, at arrival to emergency department",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R40.2342,"Coma scale, best motor response, flexion withdrawal, at arrival to emergency department",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R45.81,Low self-esteem,29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S01.91XA,"Laceration without foreign body of unspecified part of head, initial encounter",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S06.5X9D,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, subsequent encounter",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S12.090A,"Other displaced fracture of first cervical vertebra, initial encounter for closed fracture",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S22.22XA,"Fracture of body of sternum, initial encounter for closed fracture",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S42.101A,"Fracture of unspecified part of scapula, right shoulder, initial encounter for closed fracture",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S42.401A,"Unspecified fracture of lower end of right humerus, initial encounter for closed fracture",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S62.002A,"Unspecified fracture of navicular [scaphoid] bone of left wrist, initial encounter for closed fracture",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S72.301A,"Unspecified fracture of shaft of right femur, initial encounter for closed fracture",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S82.491A,"Other fracture of shaft of right fibula, initial encounter for closed fracture",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S93.492A,"Sprain of other ligament of left ankle, initial encounter",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,S99.922A,"Unspecified injury of left foot, initial encounter",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T14.8XXS,"Other injury of unspecified body region, sequela",29
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,T37.5X6A,"Underdosing of antiviral drugs, initial encounter",29
