mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
DABI150,Pradaxa,http://www.nlm.nih.gov/research/umls/rxnorm,1037046,Pradaxa,,term-join,Q1-exact,Pradaxa,,,,not-needed,
DABI75,dabigatran etexilate (Pradaxa),http://www.nlm.nih.gov/research/umls/rxnorm,1037042,dabigatran etexilate,,term-join,Q3-paren,dabigatran etexilate (Pradaxa),,,,not-needed,
DACL60,*NF* Daclatasvir 60 mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,1660194,daclatasvir 60 MG Oral Tablet,,code-search,,Daclatasvir 60 mg Tablet,1660194,daclatasvir 60 MG Oral Tablet,1.00,ok,FSN matches input exactly
DAKINHS480L,Dakins 1/2 Strength 480 mL Bottle,http://www.nlm.nih.gov/research/umls/rxnorm,313048,sodium hypochlorite 0.25 % Topical Solution,,code-search,,Dakins 1/2 Strength 480 mL Bottle,313048,sodium hypochlorite 0.25 % Topical Solution,0.85,ok,Dakin's half strength = sodium hypochlorite 0.25% solution
DAKINQS,Dakins 1/4 Strength,http://www.nlm.nih.gov/research/umls/rxnorm,644133,sodium hypochlorite 0.125 % Topical Solution,,code-search,,Dakins 1/4 Strength,644133,sodium hypochlorite 0.125 % Topical Solution,0.85,ok,Dakin's quarter strength = 0.125% sodium hypochlorite
DAKINQS500,Dakins 1/4 Strength,http://www.nlm.nih.gov/research/umls/rxnorm,644133,sodium hypochlorite 0.125 % Topical Solution,,code-search,,Dakins 1/4 Strength,644133,sodium hypochlorite 0.125 % Topical Solution,0.85,ok,Dakin's quarter strength = 0.125% sodium hypochlorite
DANA200,Danazol,http://www.nlm.nih.gov/research/umls/rxnorm,3102,danazol,,term-join,Q1-exact,Danazol,,,,not-needed,
DANM25,Dantrolene Sodium 25mg Capsule,http://www.nlm.nih.gov/research/umls/rxnorm,856656,dantrolene sodium 25 MG Oral Capsule,,code-search,,Dantrolene Sodium 25mg Capsule,856656,dantrolene sodium 25 MG Oral Capsule,0.98,ok,FSN matches input exactly
DAPS100,Dapsone 100 mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,197557,dapsone 100 MG Oral Tablet,,code-search,,Dapsone 100 mg Tablet,197557,dapsone 100 MG Oral Tablet,0.98,ok,FSN matches input exactly
DAPS100SM,Dapsone (Self Med) 100 mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,197557,dapsone 100 MG Oral Tablet,,code-search,,Dapsone (Self Med) 100 mg Tablet,197557,dapsone 100 MG Oral Tablet,0.90,ok,Dapsone 100 mg tablet matches; self-med qualifier not coded
DAPS25,Dapsone 25 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,197558,dapsone 25 MG Oral Tablet,,code-search,,Dapsone 25 mg Tab,197558,dapsone 25 MG Oral Tablet,0.98,ok,FSN matches input exactly
DARA25,Pyrimethamine *NF* 25 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,198182,pyrimethamine 25 MG Oral Tablet,,code-search,,Pyrimethamine 25 mg Tab,198182,pyrimethamine 25 MG Oral Tablet,0.97,ok,FSN matches input exactly; Tab = oral tablet
DARU600,darunavir ethanolate,http://www.nlm.nih.gov/research/umls/rxnorm,644682,darunavir ethanolate,,term-join,Q1-exact,darunavir ethanolate,,,,not-needed,
DARU800,Darunavir 800 mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,1359269,darunavir 800 MG Oral Tablet,,code-search,,Darunavir 800 mg Tablet,1359269,darunavir 800 MG Oral Tablet,0.97,ok,FSN matches input exactly
DASA100,Sprycel,http://www.nlm.nih.gov/research/umls/rxnorm,643170,Sprycel,,term-join,Q1-exact,Sprycel,,,,not-needed,
DASA70,DASatinib 70 mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,643109,dasatinib 70 MG Oral Tablet,,code-search,,DASatinib 70 mg Tablet,643109,dasatinib 70 MG Oral Tablet,0.98,ok,FSN matches input exactly
DDAV1N,Desmopressin Nasal 5mL Spray Bottle,http://www.nlm.nih.gov/research/umls/rxnorm,849506,desmopressin acetate 0.01 % Nasal Spray,,code-search,,Desmopressin Nasal 5mL Spray Bottle,849506,desmopressin acetate 0.01 % Nasal Spray,0.85,ok,Desmopressin nasal spray; 5mL bottle is package size qualifier
DDAV400I,Desmopressin Acetate,http://www.nlm.nih.gov/research/umls/rxnorm,42634,desmopressin acetate,,term-join,Q1-exact,Desmopressin Acetate,,,,not-needed,
DDAV4I,Desmopressin Acetate 4mcg/mL;1mL Amp,http://www.nlm.nih.gov/research/umls/rxnorm,1723232,desmopressin acetate 4 MCG in 1 ML Injection,,code-search,,Desmopressin Acetate 4mcg/mL;1mL Amp,1723232,desmopressin acetate 4 MCG in 1 ML Injection,0.90,ok,FSN matches 4mcg/mL in 1mL ampoule
DELSYM,Dextromethorphan Poly Complex,http://www.nlm.nih.gov/research/umls/rxnorm,236146,dextromethorphan polistirex,,code-search,,Dextromethorphan Poly Complex,236146,dextromethorphan polistirex,0.85,ok,'Poly complex' refers to polistirex complex; FSN matches
DEPA500ER,Divalproex Sodium ER,http://www.nlm.nih.gov/research/umls/rxnorm,266856,divalproex sodium,,code-search,,Divalproex Sodium ER,266856,divalproex sodium,0.85,ok,Base ingredient matches; ER is unstated dosage-form qualifier
DEPO200I,Testosterone Cypionate 200mg/mLVial,http://www.nlm.nih.gov/research/umls/rxnorm,835840,testosterone cypionate 200 MG/ML Injectable Solution,,code-search,,Testosterone Cypionate 200mg/mLVial,835840,testosterone cypionate 200 MG/ML Injectable Solution,0.90,ok,"FSN matches drug, strength, and vial formulation"
DERMOPLAST,Dermoplast Spray 56 g Can,http://www.nlm.nih.gov/research/umls/rxnorm,216489,Dermoplast,,code-search,,Dermoplast Spray 56 g Can,216489,Dermoplast,0.85,ok,Brand name matches; packaging detail not coded
DESCTAB,Emtricitabine-Tenofovir alafen *NF* 200mg-25mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,1747691,emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Tablet,,code-search,,Emtricitabine-Tenofovir alafen 200mg-25mg Tablet,1747691,emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Tablet,0.97,ok,FSN matches input exactly
DESI10,Desipramine 10 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,1099288,desipramine HCl 10 MG Oral Tablet,,code-search,,Desipramine 10 mg Tab,1099288,desipramine HCl 10 MG Oral Tablet,0.95,ok,FSN matches desipramine 10 mg tablet exactly
DESI100,Desipramine *NF* 100 mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,1099292,desipramine HCl 100 MG Oral Tablet,,code-search,,Desipramine 100 mg Tablet,1099292,desipramine HCl 100 MG Oral Tablet,0.95,ok,FSN matches input exactly
DESI25,Desipramine 25mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,1099300,desipramine HCl 25 MG Oral Tablet,,code-search,,Desipramine 25mg Tab,1099300,desipramine HCl 25 MG Oral Tablet,0.95,ok,Tab = tablet; FSN matches exactly
DESM0.1,Desmopressin Acetate,http://www.nlm.nih.gov/research/umls/rxnorm,42634,desmopressin acetate,,term-join,Q1-exact,Desmopressin Acetate,,,,not-needed,
DESO15C,Desonide 0.05% Cream 15g Tube,http://www.nlm.nih.gov/research/umls/rxnorm,349351,desonide 0.05 % Topical Cream,,code-search,,Desonide 0.05% Cream 15g Tube,349351,desonide 0.05 % Topical Cream,0.90,ok,FSN matches desonide 0.05% cream; tube size not coded
DEX0.4D5W,DEX0.4D5W,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DEX0.4D5W,,,,no-label,
DEX0.4PB,DEX0.4PB,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DEX0.4PB,,,,no-label,
DEX0.6PB,DEX0.6PB,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DEX0.6PB,,,,no-label,
DEX50SY,Dextrose 50% 25gm/50mL 50mL SYR,http://www.nlm.nih.gov/research/umls/rxnorm,727517,dextrose 50 % in 50 ML Prefilled Syringe,,code-search,,Dextrose 50% 25gm/50mL 50mL SYR,727517,dextrose 50 % in 50 ML Prefilled Syringe,0.90,ok,FSN matches dextrose 50% 50mL prefilled syringe
DEXA0.5L,Dexamethasone Oral Syringe 0.5mg / 5 mL,http://www.nlm.nih.gov/research/umls/rxnorm,309686,dexAMETHasone 0.5 MG in 5 mL Oral Solution,,code-search,,Dexamethasone Oral Syringe 0.5mg / 5 mL,309686,dexAMETHasone 0.5 MG in 5 mL Oral Solution,0.90,ok,"Matches drug, dose, and route; syringe is packaging not a distinct concept"
DEXA10I,Dexamethasone Sod Phosphate,http://www.nlm.nih.gov/research/umls/rxnorm,48933,dexamethasone sodium phosphate,,code-search,,Dexamethasone Sod Phosphate,48933,dexamethasone sodium phosphate,0.95,ok,FSN matches input exactly
DEXA12/50D5W,Dexamethasone 12 mg / 50 mL 5% Dextrose * Onc Clinic *,http://www.nlm.nih.gov/research/umls/rxnorm,3264,dexamethasone,,code-search,,Dexamethasone 12 mg / 50 mL 5% Dextrose * Onc Clinic *,3264,dexamethasone,0.80,ok,"Active ingredient; dextrose is diluent, not separately coded"
DEXA15,Dexamethasone 1.5 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,197580,dexAMETHasone 1.5 MG Oral Tablet,,code-search,,Dexamethasone 1.5 mg Tab,197580,dexAMETHasone 1.5 MG Oral Tablet,0.95,ok,"FSN matches input exactly; plain tablet, not pack"
DEXA2,Dexamethasone,http://www.nlm.nih.gov/research/umls/rxnorm,3264,dexamethasone,,term-join,Q1-exact,Dexamethasone,,,,not-needed,
DEXA20IVPB,Dexamethasone 20 mg / 50 mL 5% Dextrose * Onc Clinic *,http://www.nlm.nih.gov/research/umls/rxnorm,3264,dexamethasone,,code-search,,Dexamethasone 20 mg / 50 mL 5% Dextrose * Onc Clinic *,3264,dexamethasone,0.85,ok,Active ingredient in compounded IV order; concentration/vehicle not coded
DEXA4,Dexamethasone,http://www.nlm.nih.gov/research/umls/rxnorm,3264,dexamethasone,,term-join,Q1-exact,Dexamethasone,,,,not-needed,
DEXA4I,Dexamethasone Sod Phosphate,http://www.nlm.nih.gov/research/umls/rxnorm,48933,dexamethasone sodium phosphate,,code-search,,Dexamethasone Sod Phosphate,48933,dexamethasone sodium phosphate,0.95,ok,FSN matches input exactly
DEXA5,Dexamethasone 0.5 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,197577,dexAMETHasone 0.5 MG Oral Tablet,,code-search,,Dexamethasone 0.5 mg Tab,197577,dexAMETHasone 0.5 MG Oral Tablet,0.95,ok,FSN matches input exactly
DEXE5,Dextroamphetamine 5 mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,884386,dextroamphetamine sulfate 5 MG Oral Tablet,,code-search,,Dextroamphetamine 5 mg Tablet,884386,dextroamphetamine sulfate 5 MG Oral Tablet,0.95,ok,FSN matches input exactly
DEXM400I,Dexmedetomidine,http://www.nlm.nih.gov/research/umls/rxnorm,48937,dexmedetomidine,,term-join,Q1-exact,Dexmedetomidine,,,,not-needed,
DEXM400INV,INV-Dexmedetomidine,http://www.nlm.nih.gov/research/umls/rxnorm,48937,dexmedetomidine,,code-search,,INV-Dexmedetomidine,48937,dexmedetomidine,0.85,ok,INV is a prefix; core concept is dexmedetomidine
DEXMED1PB,DEXMED1PB,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DEXMED1PB,,,,no-label,
DEXT30L,Dextromethorphan Poly Complex,http://www.nlm.nih.gov/research/umls/rxnorm,236146,dextromethorphan polistirex,,code-search,,Dextromethorphan Poly Complex,236146,dextromethorphan polistirex,0.85,ok,'Poly complex' refers to polistirex complex; FSN matches
DEXTRAN40,DEXTRAN40,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DEXTRAN40,,,,no-label,
DEXTRNS,DEXTRNS,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DEXTRNS,,,,no-label,
DHE10I,Dihydroergotamine Mesylate 1mg/1mL Amp,http://www.nlm.nih.gov/research/umls/rxnorm,861672,dihydroergotamine mesylate 1 MG in 1 ML Injection,,code-search,,Dihydroergotamine Mesylate 1mg/1mL Amp,861672,dihydroergotamine mesylate 1 MG in 1 ML Injection,0.95,ok,"FSN matches drug, strength, and injection form"
DHE1NS250,Dihydroergotamine Mesylate 1 mg / 250 mL 0.9% Sodium Chloride,http://www.nlm.nih.gov/research/umls/rxnorm,203176,dihydroergotamine mesylate,,code-search,,Dihydroergotamine Mesylate 1 mg / 250 mL 0.9% Sodium Chloride,203176,dihydroergotamine mesylate,0.85,ok,Precise ingredient matches; strength/diluent not coded in ingredient VS
DIAZ10,Diazepam *NF*,http://www.nlm.nih.gov/research/umls/rxnorm,3322,diazepam,,term-join,Q1-exact,Diazepam,,,,not-needed,
DIAZ10I,Valium,http://www.nlm.nih.gov/research/umls/rxnorm,202472,Valium,,term-join,Q1-exact,Valium,,,,not-needed,
DIAZ2,Valium,http://www.nlm.nih.gov/research/umls/rxnorm,202472,Valium,,term-join,Q1-exact,Valium,,,,not-needed,
DIAZ5,Valium,http://www.nlm.nih.gov/research/umls/rxnorm,202472,Valium,,term-join,Q1-exact,Valium,,,,not-needed,
DIAZE5L,Diazepam Oral Solution 5 mg / 5 mL Cup,http://www.nlm.nih.gov/research/umls/rxnorm,309843,diazePAM 5 MG in 5 mL Oral Solution,,code-search,,Diazepam Oral Solution 5 mg / 5 mL Cup,309843,diazePAM 5 MG in 5 mL Oral Solution,0.95,ok,FSN matches diazepam oral solution 5mg/5mL; Cup is container qualifier
DICL10,DICYCLOMine 10mg Cap,http://www.nlm.nih.gov/research/umls/rxnorm,991061,dicyclomine HCl 10 MG Oral Capsule,,code-search,,DICYCLOMine 10mg Cap,991061,dicyclomine HCl 10 MG Oral Capsule,0.95,ok,FSN matches dicyclomine 10mg capsule exactly
DICL25,Voltaren,http://www.nlm.nih.gov/research/umls/rxnorm,202976,Voltaren,,term-join,Q1-exact,Voltaren,,,,not-needed,
DICL250,DiCLOXacillin 250 mg Cap,http://www.nlm.nih.gov/research/umls/rxnorm,197595,dicloxacillin sodium 250 MG Oral Capsule,,code-search,,DiCLOXacillin 250 mg Cap,197595,dicloxacillin sodium 250 MG Oral Capsule,0.95,ok,FSN matches input exactly
DICL500,DiCLOXacillin 500 mg Cap,http://www.nlm.nih.gov/research/umls/rxnorm,197596,dicloxacillin sodium 500 MG Oral Capsule,,code-search,,DiCLOXacillin 500 mg Cap,197596,dicloxacillin sodium 500 MG Oral Capsule,0.97,ok,FSN matches dicloxacillin 500 mg capsule exactly
DIGO.5I,Digoxin 0.5mg/2mL Amp,http://www.nlm.nih.gov/research/umls/rxnorm,104208,digoxin 500 MCG in 2 ML Injection,,code-search,,Digoxin 0.5mg/2mL Amp,104208,digoxin 500 MCG in 2 ML Injection,0.95,ok,Digoxin 0.5mg/2mL equals 500 MCG in 2 ML injection
DIGO0.05L,Digoxin Oral Soln,http://www.nlm.nih.gov/research/umls/rxnorm,250992,digoxin 0.75 MG/ML Oral Solution,,code-search,,Digoxin Oral Soln,250992,digoxin 0.75 MG/ML Oral Solution,0.80,ok,Oral solution of digoxin matches input; concentration unstated
DIGO125,lanoxin,http://www.nlm.nih.gov/research/umls/rxnorm,202988,Lanoxin,,term-join,Q1-exact,lanoxin,,,,not-needed,
DIGO25,Digoxin 0.25mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,197606,digoxin 250 MCG Oral Tablet,,code-search,,Digoxin 0.25mg Tablet,197606,digoxin 250 MCG Oral Tablet,0.95,ok,250 mcg equals 0.25 mg; exact match
DILA100,Phenytoin (Suspension),http://www.nlm.nih.gov/research/umls/rxnorm,8183,phenytoin,,term-join,Q3-paren,Phenytoin (Suspension),,,,not-needed,
DILA2I,HYDROmorphone (Dilaudid),http://www.nlm.nih.gov/research/umls/rxnorm,3423,hydromorphone,,term-join,Q3-paren,HYDROmorphone (Dilaudid),,,,not-needed,
DILA30,Phenytoin (Suspension),http://www.nlm.nih.gov/research/umls/rxnorm,8183,phenytoin,,term-join,Q3-paren,Phenytoin (Suspension),,,,not-needed,
DILF0.05O,*NF* Difluprednate 0.05% 5 mL Dropper Bottle,http://www.nlm.nih.gov/research/umls/rxnorm,804544,difluprednate 0.05 % Ophthalmic Emulsion,,code-search,,Difluprednate 0.05% 5 mL Dropper Bottle,804544,difluprednate 0.05 % Ophthalmic Emulsion,0.85,ok,Matches difluprednate 0.05% ophthalmic; dropper bottle is packaging detail
DILT125D,Diltiazem 125 mg / 100 mL 5% Dextrose,http://snomed.info/sct,372793000,Diltiazem,,code-search,,Diltiazem 125 mg / 100 mL 5% Dextrose,372793000,Diltiazem,0.85,ok,Substance match; concentration/diluent are non-coded qualifiers
DILT125DK,DILT125DK,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DILT125DK,,,,no-label,
DILT12L,Diltiazem Suspension Conc: 12 mg / mL,http://snomed.info/sct,372793000,Diltiazem,,code-search,,Diltiazem Suspension Conc: 12 mg / mL,372793000,Diltiazem,0.85,ok,Substance VS; Diltiazem substance matches ingredient
DILT25I,Diltiazem 25mg/5mL Vial,http://www.nlm.nih.gov/research/umls/rxnorm,1791229,dilTIAZem hydrochloride 25 MG in 5 mL Injection,,code-search,,Diltiazem 25mg/5mL Vial,1791229,dilTIAZem hydrochloride 25 MG in 5 mL Injection,0.95,ok,FSN matches 25mg/5mL diltiazem injection exactly
DILT30,Diltiazem 30 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,833217,dilTIAZem hydrochloride 30 MG Oral Tablet,,code-search,,Diltiazem 30 mg Tab,833217,dilTIAZem hydrochloride 30 MG Oral Tablet,0.95,ok,FSN matches 30 mg oral tablet exactly
DILT500I,Diltiazem 50mg/10mL 10mL VIAL,http://www.nlm.nih.gov/research/umls/rxnorm,1791232,dilTIAZem hydrochloride 50 MG in 10 mL Injection,,code-search,,Diltiazem 50mg/10mL 10mL VIAL,1791232,dilTIAZem hydrochloride 50 MG in 10 mL Injection,0.85,ok,FSN matches diltiazem 50mg/10mL injection exactly
DILT60,Diltiazem 60 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,831103,dilTIAZem hydrochloride 60 MG Oral Tablet,,code-search,,Diltiazem 60 mg Tab,831103,dilTIAZem hydrochloride 60 MG Oral Tablet,0.90,ok,Immediate-release 60 mg diltiazem tablet matches 'Tab'
DILT90,Diltiazem 90 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,831102,dilTIAZem HCl 90 MG Oral Tablet,,code-search,,Diltiazem 90 mg Tab,831102,dilTIAZem HCl 90 MG Oral Tablet,0.90,ok,Immediate-release 90 mg tablet matches 'Tab' without ER qualifier
DIPH25,DiphenhydrAMINE 25mg Cap,http://www.nlm.nih.gov/research/umls/rxnorm,1049909,diphenhydrAMINE HCl 25 MG Oral Capsule,,code-search,,DiphenhydrAMINE 25mg Cap,1049909,diphenhydrAMINE HCl 25 MG Oral Capsule,0.95,ok,Single-ingredient diphenhydramine 25mg capsule matches input exactly
DIPH25L,diphenhydrAMINE HCl,http://www.nlm.nih.gov/research/umls/rxnorm,1362,diphenhydramine hydrochloride,,term-join,Q2-salt,diphenhydrAMINE HCl,,,,not-needed,
DIPH50I,Diphenhydramine HCl,http://www.nlm.nih.gov/research/umls/rxnorm,1362,diphenhydramine hydrochloride,,term-join,Q2-salt,Diphenhydramine HCl,,,,not-needed,
DIPRIVAN100,DIPRIVAN100,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DIPRIVAN100,,,,no-label,
DIPY25,Dipyridamole 25 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,309952,dipyridamole 25 MG Oral Tablet,,code-search,,Dipyridamole 25 mg Tab,309952,dipyridamole 25 MG Oral Tablet,0.98,ok,FSN matches input exactly
DIPY75,Dipyridamole 75 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,309955,dipyridamole 75 MG Oral Tablet,,code-search,,Dipyridamole 75 mg Tab,309955,dipyridamole 75 MG Oral Tablet,0.90,ok,Tab = oral tablet; delayed release oversteps
DISO100,Disopyramide Phosphate,http://www.nlm.nih.gov/research/umls/rxnorm,203178,disopyramide phosphate,,term-join,Q1-exact,Disopyramide Phosphate,,,,not-needed,
DISO100CR,Disopyramide CR,http://www.nlm.nih.gov/research/umls/rxnorm,3541,disopyramide,,code-search,,Disopyramide CR,3541,disopyramide,0.85,ok,CR is a release qualifier; base drug disopyramide matches
DISO150,Disopyramide Phosphate 150 mg Cap,http://www.nlm.nih.gov/research/umls/rxnorm,309960,disopyramide phosphate 150 MG Oral Capsule,,code-search,,Disopyramide Phosphate 150 mg Cap,309960,disopyramide phosphate 150 MG Oral Capsule,0.95,ok,FSN matches input exactly; Cap = capsule
DISO150CR,Disopyramide Phosphate,http://www.nlm.nih.gov/research/umls/rxnorm,203178,disopyramide phosphate,,term-join,Q1-exact,Disopyramide Phosphate,,,,not-needed,
DISU250,Disulfiram 250 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,197623,disulfiram 250 MG Oral Tablet,,code-search,,Disulfiram 250 mg Tab,197623,disulfiram 250 MG Oral Tablet,0.98,ok,FSN matches input exactly
DITU4L,GuaiFENesin-Dextromethorphan (Sugar Free),http://www.nlm.nih.gov/research/umls/rxnorm,214488,dextromethorphan / guaifenesin,,code-search,,GuaiFENesin-Dextromethorphan (Sugar Free),214488,dextromethorphan / guaifenesin,0.85,ok,FSN matches the two-ingredient combination; sugar-free qualifier not separately coded
DIVA125,Divalproex Sodium,http://www.nlm.nih.gov/research/umls/rxnorm,266856,divalproex sodium,,term-join,Q1-exact,Divalproex Sodium,,,,not-needed,
DIVA125SP,Valproic Acid,http://www.nlm.nih.gov/research/umls/rxnorm,11118,valproic acid,,term-join,Q1-exact,Valproic Acid,,,,not-needed,
DIVA250,Valproic Acid,http://www.nlm.nih.gov/research/umls/rxnorm,11118,valproic acid,,term-join,Q1-exact,Valproic Acid,,,,not-needed,
DIVA250ER,Divalproex Sodium ER,http://www.nlm.nih.gov/research/umls/rxnorm,266856,divalproex sodium,,code-search,,Divalproex Sodium ER,266856,divalproex sodium,0.85,ok,Base ingredient matches; ER is unstated dosage-form qualifier
DIVA500,Valproic Acid,http://www.nlm.nih.gov/research/umls/rxnorm,11118,valproic acid,,term-join,Q1-exact,Valproic Acid,,,,not-needed,
DOBPREM,DOBUTamine 250mg BAG,http://www.nlm.nih.gov/research/umls/rxnorm,309985,DOBUTamine 250 MG in 250 ML Injection,,code-search,,DOBUTamine 250mg BAG,309985,DOBUTamine 250 MG in 250 ML Injection,0.85,ok,Matches dobutamine 250mg dose; bag implies IV bag
DOBU500/100D,DOBU500/100D,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DOBU500/100D,,,,no-label,
DOBU500/100NS,DOBU500/100NS,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DOBU500/100NS,,,,no-label,
DOCU100,Docusate Sodium (Liquid),http://www.nlm.nih.gov/research/umls/rxnorm,71722,docusate sodium,,term-join,Q3-paren,Docusate Sodium (Liquid),,,,not-needed,
DOCU100L,Docusate Sodium (Liquid) 100mg / 10 mL Cup,http://www.nlm.nih.gov/research/umls/rxnorm,71722,docusate sodium,,code-search,,Docusate Sodium (Liquid) 100mg / 10 mL Cup,71722,docusate sodium,0.80,ok,Ingredient matches; product form not separately coded
DOCU100T,Docusate Sodium (Liquid),http://www.nlm.nih.gov/research/umls/rxnorm,71722,docusate sodium,,term-join,Q3-paren,Docusate Sodium (Liquid),,,,not-needed,
DOFE125,Dofetilide 125mcg Capsule,http://www.nlm.nih.gov/research/umls/rxnorm,310003,dofetilide 125 MCG Oral Capsule,,code-search,,Dofetilide 125mcg Capsule,310003,dofetilide 125 MCG Oral Capsule,0.97,ok,FSN matches input exactly
DOFE250,Dofetilide 250mcg Capsule,http://www.nlm.nih.gov/research/umls/rxnorm,310004,dofetilide 250 MCG Oral Capsule,,code-search,,Dofetilide 250mcg Capsule,310004,dofetilide 250 MCG Oral Capsule,0.98,ok,FSN matches input exactly
DOFE500,Dofetilide 500mcg Capsule,http://www.nlm.nih.gov/research/umls/rxnorm,310005,dofetilide 500 MCG Oral Capsule,,code-search,,Dofetilide 500mcg Capsule,310005,dofetilide 500 MCG Oral Capsule,0.98,ok,FSN matches input exactly
DOLAS100,*NF* Dolasetron Mesylate 100mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,310006,dolasetron mesylate 100 MG Oral Tablet,,code-search,,Dolasetron Mesylate 100mg Tablet,310006,dolasetron mesylate 100 MG Oral Tablet,0.98,ok,FSN matches input exactly
DOLU50,Tivicay,http://www.nlm.nih.gov/research/umls/rxnorm,1433874,Tivicay,,term-join,Q1-exact,Tivicay,,,,not-needed,
DOMEPKT,Domeboro,http://www.nlm.nih.gov/research/umls/rxnorm,1293264,Domeboro,,term-join,Q1-exact,Domeboro,,,,not-needed,
DOMP10,Domperidone,http://www.nlm.nih.gov/research/umls/rxnorm,3626,domperidone,,term-join,Q1-exact,Domperidone,,,,not-needed,
DONE10,Donepezil 10mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,997223,donepezil HCl 10 MG Oral Tablet,,code-search,,Donepezil 10mg Tablet,997223,donepezil HCl 10 MG Oral Tablet,0.90,ok,Plain tablet matches oral tablet; disintegrating adds unstated specificity
DONE5,Donepezil 5mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,997229,donepezil HCl 5 MG Oral Tablet,,code-search,,Donepezil 5mg Tablet,997229,donepezil HCl 5 MG Oral Tablet,0.90,ok,Plain tablet matches oral tablet; disintegrating is narrower subtype
DONN162,Donnatol,http://www.nlm.nih.gov/research/umls/rxnorm,689606,atropine / hyoscyamine / phenobarbital / scopolamine,,code-search,,Donnatol,689606,atropine / hyoscyamine / phenobarbital / scopolamine,0.85,ok,Donnatol is misspelling of Donnatal brand; matches this combination
DOPA400D,DOPamine 400mg BAG,http://www.nlm.nih.gov/research/umls/rxnorm,3628,dopamine,,code-search,,DOPamine 400mg BAG,3628,dopamine,0.85,ok,FSN matches ingredient; dose/form are non-coded qualifiers
DOPA800D,DOPA800D,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DOPA800D,,,,no-label,
DOPA800NS,DOPA800NS,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,DOPA800NS,,,,no-label,
