mimic_code,mimic_display,loinc_code,loinc_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
51286,Ristocetin,,,"code-search proposed 4680-5 |von Willebrand factor (vWf) ristocetin cofactor [Units/volume] in Platelet poor plasma| at 0.70 for 'Hospital laboratory analyte measured in Blood: Ristocetin', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Ristocetin,4680-5,von Willebrand factor (vWf) ristocetin cofactor [Units/volume] in Platelet poor plasma,0.70,below-threshold,Ristocetin analyte; specimen is PPP not Blood
51287,Schistocytes,104779-4,Schistocytes [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Schistocytes,104779-4,Schistocytes [Presence] in Blood,0.85,ok,FSN matches Schistocytes in Blood; no method specified
51288,Sedimentation Rate,30341-2,Erythrocyte [Sedimentation Rate] in Blood,,Hospital laboratory analyte measured in Blood: Sedimentation Rate,30341-2,Erythrocyte [Sedimentation Rate] in Blood,0.95,ok,FSN matches input; no method qualifier overstepping
51289,Serum Viscosity,3128-6,Viscosity of Serum,,Hospital laboratory analyte measured in Blood: Serum Viscosity,3128-6,Viscosity of Serum,0.85,ok,FSN matches serum viscosity analyte
51290,Sickle Cell Preparation,104795-0,Sickle cells [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Sickle Cell Preparation,104795-0,Sickle cells [Presence] in Blood,0.85,ok,Sickle cell test in blood; matches analyte and specimen
51291,Sickle Cells,104795-0,Sickle cells [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Sickle Cells,104795-0,Sickle cells [Presence] in Blood,0.90,ok,FSN matches sickle cells in blood; no method stated
51292,Spherocytes,104800-8,Spherocytes [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Spherocytes,104800-8,Spherocytes [Presence] in Blood,0.85,ok,FSN matches spherocytes in blood; no method overstepping
51293,Sugar Water Test,2339-0,Glucose [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Sugar Water Test,2339-0,Glucose [Mass/volume] in Blood,0.85,ok,Sugar Water Test refers to glucose; glucose in blood matches analyte measured in blood
51294,Target Cells,104710-9,Target cells [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Target Cells,104710-9,Target cells [Presence] in Blood,0.90,ok,FSN matches target cells in blood; no unstated method
51295,TdT,5565-7,Terminal deoxyribonucleotidyl transferase [Units/volume] in Leukocytes,,Hospital laboratory analyte measured in Blood: TdT,5565-7,Terminal deoxyribonucleotidyl transferase [Units/volume] in Leukocytes,0.80,ok,TdT analyte measured in blood (leukocytes); closest match
51296,Teardrop Cells,104726-5,Dacrocytes [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Teardrop Cells,104726-5,Dacrocytes [Presence] in Blood,0.85,ok,Teardrop cells (dacrocytes) in blood; matches without unstated method
51297,Thrombin,,,"code-search proposed 21032-8 |Thrombin time [Interpretation] in Blood by Coagulation assay| at 0.75 for 'Hospital laboratory analyte measured in Blood: Thrombin', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Thrombin,21032-8,Thrombin time [Interpretation] in Blood by Coagulation assay,0.75,below-threshold,Thrombin analyte measured in blood; closest match to input
51298,Von Willebrand Factor Activity,73978-9,von Willebrand factor (vWf).activity [Units/volume] in Platelet poor plasma by Immunoassay,,Hospital laboratory analyte measured in Blood: Von Willebrand Factor Activity,73978-9,von Willebrand factor (vWf).activity [Units/volume] in Platelet poor plasma by Immunoassay,0.85,ok,FSN matches vWf activity analyte/property; specimen detail not overstepping
51299,Von Willebrand Factor Antigen,41867-3,von Willebrand factor (vWf) Ag [Units/volume] in Platelet poor plasma,,Hospital laboratory analyte measured in Blood: Von Willebrand Factor Antigen,41867-3,von Willebrand factor (vWf) Ag [Units/volume] in Platelet poor plasma,0.85,ok,"vWF Ag test; no method specified, matches analyte"
51300,WBC Count,26464-8,Leukocytes [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: WBC Count,26464-8,Leukocytes [#/volume] in Blood,0.95,ok,FSN matches WBC count in blood exactly
51301,White Blood Cells,26464-8,Leukocytes [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: White Blood Cells,26464-8,Leukocytes [#/volume] in Blood,0.85,ok,White Blood Cells = Leukocytes; measured in Blood matches FSN
51302,Young Cells,14196-0,Reticulocytes [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: Young Cells,14196-0,Reticulocytes [#/volume] in Blood,0.85,ok,Young Cells = reticulocytes; general reticulocyte count in blood
51303,CD10,51216-0,CD10 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD10,51216-0,CD10 cells/cells in Bone marrow,0.85,ok,"CD10 analyte in bone marrow; generic cells measure, no blast overstepping"
51304,CD103,51221-0,CD103 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD103,51221-0,CD103 cells/cells in Bone marrow,0.95,ok,FSN matches CD103 in bone marrow exactly
51305,CD117,42866-4,CD117 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD117,42866-4,CD117 cells/cells in Bone marrow,0.85,ok,General CD117 analyte in bone marrow; others add unstated blast/cytoplasmic/CD34 specificity
51306,CD11c,33202-3,CD11c cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD11c,33202-3,CD11c cells/cells in Bone marrow,0.90,ok,FSN matches CD11c measured in bone marrow; no unstated specifier
51307,CD13,51237-6,CD13 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD13,51237-6,CD13 cells/cells in Bone marrow,0.85,ok,Generic CD13 analyte in bone marrow; cells variant matches without blast specificity
51308,CD138,42870-6,CD138 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD138,42870-6,CD138 cells/cells in Bone marrow,0.95,ok,FSN matches CD138 analyte in bone marrow
51309,CD14,32507-6,CD14 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD14,32507-6,CD14 cells/cells in Bone marrow,0.90,ok,FSN matches CD14 analyte in bone marrow; blasts variants are narrower
51310,CD15,51186-5,CD15 Ag [Presence] in Bone marrow by Immune stain,,Hospital laboratory analyte measured in Bone Marrow: CD15,51186-5,CD15 Ag [Presence] in Bone marrow by Immune stain,0.85,ok,CD15 analyte in bone marrow; method is structural LOINC detail
51311,CD16,,,"code-search returned no match for 'Hospital laboratory analyte measured in Bone Marrow: CD16' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Bone Marrow: CD16,,,,no-match,
51312,CD16/56,32536-5,CD3-CD16+CD56+ (Natural killer) cells [#/volume] in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD16/56,32536-5,CD3-CD16+CD56+ (Natural killer) cells [#/volume] in Bone marrow,0.85,ok,CD16/56 = NK cells; measured in bone marrow
51313,CD19,32524-1,CD19 cells [#/volume] in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD19,32524-1,CD19 cells [#/volume] in Bone marrow,0.85,ok,Generic CD19 analyte in bone marrow; plain CD19 cell count
51314,CD2,32526-6,CD2 cells [#/volume] in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD2,32526-6,CD2 cells [#/volume] in Bone marrow,0.85,ok,"CD2 measured in bone marrow; cells match, blasts overstep"
51315,CD20,107082-0,CD20 cells/Cells in Bone marrow by Flow cytometry (FC),,Hospital laboratory analyte measured in Bone Marrow: CD20,107082-0,CD20 cells/Cells in Bone marrow by Flow cytometry (FC),0.90,ok,CD20 analyte measured in bone marrow; matches analyte+specimen
51316,CD22,,,"code-search proposed 51124-6 |CD22 blasts/Blasts in Bone marrow| at 0.70 for 'Hospital laboratory analyte measured in Bone Marrow: CD22', below the 0.8 threshold.",Hospital laboratory analyte measured in Bone Marrow: CD22,51124-6,CD22 blasts/Blasts in Bone marrow,0.70,below-threshold,Closest CD22 bone marrow analyte; input unspecified re blasts
51317,CD23,51268-1,CD23 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD23,51268-1,CD23 cells/cells in Bone marrow,0.85,ok,CD23 analyte in bone marrow; cells measure matches analyte
51318,CD25,32493-9,CD25 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD25,32493-9,CD25 cells/cells in Bone marrow,0.85,ok,"CD25 analyte in bone marrow; most general, no unstated cell subset"
51319,CD3,32528-2,CD3 cells [#/volume] in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD3,32528-2,CD3 cells [#/volume] in Bone marrow,0.85,ok,CD3 cells in bone marrow; property detail not overstepping for LOINC
51320,CD33,51293-9,CD33 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD33,51293-9,CD33 cells/cells in Bone marrow,0.85,ok,Generic CD33 analyte in bone marrow; cells variant is least specific
51321,CD34,57400-4,CD34 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD34,57400-4,CD34 cells/cells in Bone marrow,0.82,ok,"Generic CD34 analyte in bone marrow; most general CD34 measurement, no unstated marker or blast specificity"
51322,CD38,51298-8,CD38 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD38,51298-8,CD38 cells/cells in Bone marrow,0.95,ok,CD38 analyte measured in bone marrow; matches input precisely
51323,CD4,32533-2,CD3+CD4+ (T4 helper) cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD4,32533-2,CD3+CD4+ (T4 helper) cells/cells in Bone marrow,0.80,ok,CD4 analyte in bone marrow; T4 helper assay adds CD3 co-staining
51324,CD41,51319-2,CD41 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD41,51319-2,CD41 cells/cells in Bone marrow,0.95,ok,FSN matches CD41 analyte in bone marrow
51325,CD45,51340-8,CD45 (Lymphs) cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD45,51340-8,CD45 (Lymphs) cells/cells in Bone marrow,0.90,ok,CD45 analyte measured in bone marrow; matches input
51326,CD5,35640-2,CD5 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD5,35640-2,CD5 cells/cells in Bone marrow,0.95,ok,FSN matches CD5 in bone marrow exactly
51327,CD55,51344-0,CD55 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD55,51344-0,CD55 cells/cells in Bone marrow,0.95,ok,FSN matches CD55 analyte measured in bone marrow
51328,CD56,,,"code-search proposed 42622-1 |CD13+CD56+ cells/cells in Bone marrow| at 0.50 for 'Hospital laboratory analyte measured in Bone Marrow: CD56', below the 0.8 threshold.",Hospital laboratory analyte measured in Bone Marrow: CD56,42622-1,CD13+CD56+ cells/cells in Bone marrow,0.50,below-threshold,"CD56 in bone marrow; all candidates specify subsets, none plain CD56"
51329,CD57,32497-0,CD57 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD57,32497-0,CD57 cells/cells in Bone marrow,0.95,ok,FSN matches CD57 analyte in bone marrow exactly
51330,CD59,51358-0,CD59 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD59,51358-0,CD59 cells/cells in Bone marrow,0.95,ok,FSN matches CD59 analyte measured in bone marrow
51331,CD64,51365-5,CD64 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD64,51365-5,CD64 cells/cells in Bone marrow,0.88,ok,LOINC analyte CD64 measured in bone marrow; matches analyte and specimen
51332,CD7,35641-0,CD7 cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD7,35641-0,CD7 cells/cells in Bone marrow,0.95,ok,FSN matches CD7 in bone marrow exactly
51333,CD71,,,"code-search proposed 21169-8 |CD71 cells/cells in Specimen| at 0.60 for 'Hospital laboratory analyte measured in Bone Marrow: CD71', below the 0.8 threshold.",Hospital laboratory analyte measured in Bone Marrow: CD71,21169-8,CD71 cells/cells in Specimen,0.60,below-threshold,No CD71-in-Bone-marrow code exists; generic Specimen CD71 is closest broader match
51334,CD8,32534-0,CD3+CD8+ (T8 suppressor) cells [#/volume] in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: CD8,32534-0,CD3+CD8+ (T8 suppressor) cells [#/volume] in Bone marrow,0.80,ok,CD3+CD8+ is the standard CD8 T-cell analyte; property not specified in input
51335,FMC-7,,,"code-search proposed 44065-1 |CD20+FMC7+ cells [#/volume] in Bone marrow| at 0.70 for 'Hospital laboratory analyte measured in Bone Marrow: FMC-7', below the 0.8 threshold.",Hospital laboratory analyte measured in Bone Marrow: FMC-7,44065-1,CD20+FMC7+ cells [#/volume] in Bone marrow,0.70,below-threshold,FMC7 analyte in bone marrow; adds CD20+ co-marker as no plain FMC7 bone marrow code exists
51336,Glyco A,,,"code-search proposed 4548-4 |Hemoglobin A1c/Hemoglobin.total in Blood| at 0.70 for 'Hospital laboratory analyte measured in Bone Marrow: Glyco A', below the 0.8 threshold.",Hospital laboratory analyte measured in Bone Marrow: Glyco A,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,0.70,below-threshold,Glyco A = glycated hemoglobin A1c; specimen (bone marrow) differs from blood
51337,HLA-DR,51380-4,HLA-DR+ cells/cells in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: HLA-DR,51380-4,HLA-DR+ cells/cells in Bone marrow,0.90,ok,FSN matches HLA-DR in bone marrow; others add unstated cell markers
51338,Immunophenotyping,,,"code-search proposed 101119-6 |Leukemia and lymphoma immunophenotyping in Specimen Document by Flow cytometry (FC)| at 0.75 for 'Hospital laboratory analyte measured in Bone Marrow: Immunophenotyping', below the 0.8 threshold.",Hospital laboratory analyte measured in Bone Marrow: Immunophenotyping,101119-6,Leukemia and lymphoma immunophenotyping in Specimen Document by Flow cytometry (FC),0.75,below-threshold,Only immunophenotyping code; matches analyte concept though Document type
51339,Iron Stain,13513-7,Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain,,Hospital laboratory analyte measured in Bone Marrow: Iron Stain,13513-7,Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain,0.90,ok,"FSN matches analyte, specimen, and iron stain method"
51340,Kappa,46237-4,Kappa lymphocytes/Lymphocytes in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: Kappa,46237-4,Kappa lymphocytes/Lymphocytes in Bone marrow,0.85,ok,Kappa measured in bone marrow; matches analyte and specimen
51341,Lambda,104322-3,Lambda lymphocytes/Lymphocytes in Bone marrow,,Hospital laboratory analyte measured in Bone Marrow: Lambda,104322-3,Lambda lymphocytes/Lymphocytes in Bone marrow,0.85,ok,Lambda analyte measured in bone marrow; matches without added method/specifier
51342,Wright Giemsa,10355-6,Microscopic observation [Identifier] in Bone marrow by Wright Giemsa stain,,Hospital laboratory analyte measured in Bone Marrow: Wright Giemsa,10355-6,Microscopic observation [Identifier] in Bone marrow by Wright Giemsa stain,0.95,ok,FSN matches analyte and specimen exactly
51365,Atypical Lymphocytes,35048-8,Abnormal lymphocytes [#/volume] in Synovial fluid,,Hospital laboratory analyte measured in Joint Fluid: Atypical Lymphocytes,35048-8,Abnormal lymphocytes [#/volume] in Synovial fluid,0.85,ok,Atypical lymphocytes in joint (synovial) fluid; atypical=abnormal
51366,Bands,35013-2,Band form neutrophils [#/volume] in Synovial fluid,,Hospital laboratory analyte measured in Joint Fluid: Bands,35013-2,Band form neutrophils [#/volume] in Synovial fluid,0.85,ok,Bands in joint fluid = band form neutrophils in synovial fluid
51367,Basophils,35074-4,Basophils [#/volume] in Synovial fluid,,Hospital laboratory analyte measured in Joint Fluid: Basophils,35074-4,Basophils [#/volume] in Synovial fluid,0.85,ok,Joint fluid = synovial fluid; FSN matches analyte and specimen
51368,Eosinophils,35060-3,Eosinophils [#/volume] in Synovial fluid,,Hospital laboratory analyte measured in Joint Fluid: Eosinophils,35060-3,Eosinophils [#/volume] in Synovial fluid,0.85,ok,Joint fluid = synovial fluid; eosinophils measured there
51369,"Hematocrit, Joint Fluid",70168-0,Hematocrit [Volume Fraction] of Synovial fluid by calculation,,"Hospital laboratory analyte measured in Joint Fluid: Hematocrit, Joint Fluid",70168-0,Hematocrit [Volume Fraction] of Synovial fluid by calculation,0.85,ok,Joint fluid = synovial fluid; matches hematocrit analyte in joint fluid
51370,"Joint Crystals, Birefringence",5781-0,Crystals [type] in Synovial fluid by Light microscopy,,"Hospital laboratory analyte measured in Joint Fluid: Joint Crystals, Birefringence",5781-0,Crystals [type] in Synovial fluid by Light microscopy,0.85,ok,Joint fluid crystals assessed by birefringence (light microscopy); same kind and specificity
51371,"Joint Crystals, Comment",5781-0,Crystals [type] in Synovial fluid by Light microscopy,,"Hospital laboratory analyte measured in Joint Fluid: Joint Crystals, Comment",5781-0,Crystals [type] in Synovial fluid by Light microscopy,0.85,ok,Joint crystals in joint fluid; comment is non-coded qualifier
51372,"Joint Crystals, Location",5781-0,Crystals [type] in Synovial fluid by Light microscopy,,"Hospital laboratory analyte measured in Joint Fluid: Joint Crystals, Location",5781-0,Crystals [type] in Synovial fluid by Light microscopy,0.85,ok,Joint fluid crystals analyte; type identification in synovial fluid
51373,"Joint Crystals, Number",,,"code-search proposed 5781-0 |Crystals [type] in Synovial fluid by Light microscopy| at 0.70 for 'Hospital laboratory analyte measured in Joint Fluid: Joint Crystals, Number', below the 0.8 threshold.","Hospital laboratory analyte measured in Joint Fluid: Joint Crystals, Number",5781-0,Crystals [type] in Synovial fluid by Light microscopy,0.70,below-threshold,General crystals-in-joint-fluid concept; property is type not number
51374,"Joint Crystals, Shape",5781-0,Crystals [type] in Synovial fluid by Light microscopy,,"Hospital laboratory analyte measured in Joint Fluid: Joint Crystals, Shape",5781-0,Crystals [type] in Synovial fluid by Light microscopy,0.85,ok,Crystal morphology/shape in joint fluid; closest LOINC analyte
51375,Lymphocytes,35049-6,Lymphocytes [#/volume] in Synovial fluid,,Hospital laboratory analyte measured in Joint Fluid: Lymphocytes,35049-6,Lymphocytes [#/volume] in Synovial fluid,0.85,ok,Joint fluid = Synovial fluid; FSN matches analyte and specimen
51376,Macrophage,35037-1,Macrophages [#/volume] in Synovial fluid,,Hospital laboratory analyte measured in Joint Fluid: Macrophage,35037-1,Macrophages [#/volume] in Synovial fluid,0.85,ok,Joint fluid = synovial fluid; FSN matches analyte and specimen
51377,Mesothelial Cells,35035-5,Mesothelial cells [#/volume] in Synovial fluid,,Hospital laboratory analyte measured in Joint Fluid: Mesothelial Cells,35035-5,Mesothelial cells [#/volume] in Synovial fluid,0.85,ok,Joint fluid = synovial fluid; mesothelial cells measured there
51378,Metamyelocytes,,,"code-search proposed 35031-4 |Metamyelocytes [#/volume] in Body fluid| at 0.75 for 'Hospital laboratory analyte measured in Joint Fluid: Metamyelocytes', below the 0.8 threshold.",Hospital laboratory analyte measured in Joint Fluid: Metamyelocytes,35031-4,Metamyelocytes [#/volume] in Body fluid,0.75,below-threshold,No Joint Fluid code exists; Body fluid is closest broader match
51379,Monocytes,30435-2,Monocytes [#/volume] in Synovial fluid,,Hospital laboratory analyte measured in Joint Fluid: Monocytes,30435-2,Monocytes [#/volume] in Synovial fluid,0.85,ok,Joint fluid = synovial fluid; Monocytes measured there
51380,NRBC,62438-7,Nucleated erythrocytes [#/volume] in Synovial fluid by Automated count,,Hospital laboratory analyte measured in Joint Fluid: NRBC,62438-7,Nucleated erythrocytes [#/volume] in Synovial fluid by Automated count,0.80,ok,"NRBC in joint fluid; method not stated, automated is standard"
51381,Other,,,"code-search returned no match for 'Hospital laboratory analyte measured in Joint Fluid: Other' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Joint Fluid: Other,,,,no-match,
51382,Polys,26504-1,Neutrophils [#/volume] in Synovial fluid,,Hospital laboratory analyte measured in Joint Fluid: Polys,26504-1,Neutrophils [#/volume] in Synovial fluid,0.85,ok,Polys = polymorphonuclear cells/neutrophils; Joint fluid = synovial fluid
51383,"RBC, Joint Fluid",26458-0,Erythrocytes [#/volume] in Synovial fluid,,"Hospital laboratory analyte measured in Joint Fluid: RBC, Joint Fluid",26458-0,Erythrocytes [#/volume] in Synovial fluid,0.85,ok,RBC count in joint (synovial) fluid; exact match
51385,Atypical Lymphocytes,,,"code-search returned no match for 'Hospital laboratory analyte measured in Other Body Fluid: Atypical Lymphocytes' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Other Body Fluid: Atypical Lymphocytes,,,,no-match,
51386,Bands,35014-0,Band form neutrophils [#/volume] in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: Bands,35014-0,Band form neutrophils [#/volume] in Body fluid,0.85,ok,Bands in body fluid = band form neutrophils in body fluid
51387,Basophils,35071-0,Basophils [#/volume] in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: Basophils,35071-0,Basophils [#/volume] in Body fluid,0.85,ok,Basophils measured in body fluid; generic body fluid matches 'Other Body Fluid'
51388,CD10,51217-8,CD10 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD10,51217-8,CD10 cells/cells in Body fluid,0.85,ok,CD10 analyte measured in body fluid; matches input
51389,CD103,42864-9,CD103 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD103,42864-9,CD103 cells/cells in Body fluid,0.85,ok,CD103 analyte in Other Body Fluid matches FSN
51390,CD117,,,"code-search proposed 51185-7 |CD117 Ag [Presence] in Specimen by Immune stain| at 0.70 for 'Hospital laboratory analyte measured in Other Body Fluid: CD117', below the 0.8 threshold.",Hospital laboratory analyte measured in Other Body Fluid: CD117,51185-7,CD117 Ag [Presence] in Specimen by Immune stain,0.70,below-threshold,CD117 analyte measurement; specimen broader than Other Body Fluid
51391,CD11c,51232-7,CD11c cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD11c,51232-7,CD11c cells/cells in Body fluid,0.85,ok,CD11c analyte measured in body fluid; matches input
51392,CD13,51238-4,CD13 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD13,51238-4,CD13 cells/cells in Body fluid,0.85,ok,CD13 analyte measured in body fluid; matches analyte and specimen
51393,CD138,42871-4,CD138 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD138,42871-4,CD138 cells/cells in Body fluid,0.80,ok,CD138 analyte in body fluid; closest LOINC match
51394,CD14,51248-3,CD14 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD14,51248-3,CD14 cells/cells in Body fluid,0.85,ok,CD14 analyte measured in body fluid; matches Other Body Fluid context
51395,CD15,51188-1,CD15 Ag [Presence] in Specimen by Immune stain,,Hospital laboratory analyte measured in Other Body Fluid: CD15,51188-1,CD15 Ag [Presence] in Specimen by Immune stain,0.80,ok,CD15 analyte in unspecified/other body fluid specimen
51396,CD16,17828-5,CD16 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD16,17828-5,CD16 cells/cells in Body fluid,0.85,ok,CD16 analyte measured in body fluid; FSN matches
51397,CD16/56,18268-3,CD16+CD56+ cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD16/56,18268-3,CD16+CD56+ cells/cells in Body fluid,0.85,ok,FSN matches CD16/56 measured in body fluid
51398,CD19,17829-3,CD19 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD19,17829-3,CD19 cells/cells in Body fluid,0.85,ok,FSN matches CD19 measured in body fluid
51399,CD2,43950-5,CD2 cells [#/volume] in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD2,43950-5,CD2 cells [#/volume] in Body fluid,0.85,ok,CD2 analyte measured in body fluid; matches analyte and specimen
51400,CD20,57418-6,CD20 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD20,57418-6,CD20 cells/cells in Body fluid,0.80,ok,CD20 analyte in body fluid; closest match to Other Body Fluid
51401,CD22,42875-5,CD22 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD22,42875-5,CD22 cells/cells in Body fluid,0.85,ok,CD22 analyte measured in body fluid; matches class and analyte
51402,CD23,51269-9,CD23 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD23,51269-9,CD23 cells/cells in Body fluid,0.85,ok,CD23 measured in body fluid; matches Other Body Fluid
51403,CD25,38352-1,Interleukin 2 receptor [Units/volume] in Specimen,,Hospital laboratory analyte measured in Other Body Fluid: CD25,38352-1,Interleukin 2 receptor [Units/volume] in Specimen,0.80,ok,CD25 is IL-2 receptor; Specimen (XXX) matches Other Body Fluid
51404,CD3,20598-9,CD3 cells [#/volume] in Specimen,,Hospital laboratory analyte measured in Other Body Fluid: CD3,20598-9,CD3 cells [#/volume] in Specimen,0.85,ok,CD3 analyte in Other Body Fluid (XXX/Specimen); count variant
51405,CD33,51294-7,CD33 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD33,51294-7,CD33 cells/cells in Body fluid,0.85,ok,"FSN measures CD33 in body fluid, matching analyte and system"
51406,CD34,58939-0,CD34 cells [#/volume] in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD34,58939-0,CD34 cells [#/volume] in Body fluid,0.85,ok,FSN matches CD34 analyte in body fluid; measurement kind unspecified
51407,CD38,51299-6,CD38 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD38,51299-6,CD38 cells/cells in Body fluid,0.82,ok,CD38 analyte in Body fluid; FSN matches component and system
51408,CD4,17822-8,CD3+CD4+ (T4 helper) cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD4,17822-8,CD3+CD4+ (T4 helper) cells/cells in Body fluid,0.85,ok,"CD4 in Other Body Fluid; matches analyte CD4 and specimen, though ratio form unspecified"
51409,CD4/CD8 Ratio,18266-7,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD4/CD8 Ratio,18266-7,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Body fluid,0.90,ok,FSN matches CD4/CD8 ratio in body fluid
51410,CD41,51320-0,CD41 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD41,51320-0,CD41 cells/cells in Body fluid,0.85,ok,CD41 analyte measured in body fluid; FSN matches exactly
51411,CD45,17823-6,CD45 (Lymphs) cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD45,17823-6,CD45 (Lymphs) cells/cells in Body fluid,0.80,ok,Only CD45 analyte measured in body fluid; matches analyte and specimen
51412,CD5,57423-6,CD5 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD5,57423-6,CD5 cells/cells in Body fluid,0.82,ok,CD5 analyte measured in Other Body Fluid; FSN matches specimen and analyte
51413,CD56,57424-4,CD56 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD56,57424-4,CD56 cells/cells in Body fluid,0.85,ok,CD56 analyte measured in body fluid; matches input
51414,CD57,,,"code-search returned no match for 'Hospital laboratory analyte measured in Other Body Fluid: CD57' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Other Body Fluid: CD57,,,,no-match,
51415,CD64,51366-3,CD64 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD64,51366-3,CD64 cells/cells in Body fluid,0.85,ok,CD64 analyte measured in body fluid; matches input
51416,CD7,57425-1,CD7 cells/cells in Body fluid,,Hospital laboratory analyte measured in Other Body Fluid: CD7,57425-1,CD7 cells/cells in Body fluid,0.85,ok,CD7 analyte measured in body fluid; matches input
