mimic_code,mimic_display,snomed_code,snomed_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
228165,Impella Daily Tubing Change,,,code-search returned no match for 'Impella Daily Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Impella Daily Tubing Change,,,,no-match,
228166,Impella Dressing Change,18949003,Change of dressing,,Impella Dressing Change,18949003,Change of dressing,0.85,ok,Core event is dressing change; no Impella-specific code exists
228168,Impella Insertion Date,439272007,Date of procedure,,Impella Insertion Date,439272007,Date of procedure,0.80,ok,Date/time recorded for Impella insertion event maps to Date of procedure
228207,Tandem Heart Access Line Dressing Change,18949003,Change of dressing,,Tandem Heart Access Line Dressing Change,18949003,Change of dressing,0.85,ok,Core procedure is dressing change; device context not separately coded
228209,Tandem Heart Access Line Insertion Date,,,"code-search proposed 439272007 |Date of procedure| at 0.75 for 'Tandem Heart Access Line Insertion Date', below the 0.8 threshold.",Tandem Heart Access Line Insertion Date,439272007,Date of procedure,0.75,below-threshold,Date/time recorded for Tandem Heart access line insertion event = date of procedure
228215,Tandem Heart Access Line Tubing Change,,,code-search returned no match for 'Tandem Heart Access Line Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Tandem Heart Access Line Tubing Change,,,,no-match,
228218,Tandem Heart Return Cannula Dressing Change,1230247009,Replacement of dressing of insertion site of cannula,,Tandem Heart Return Cannula Dressing Change,1230247009,Replacement of dressing of insertion site of cannula,0.85,ok,Dressing change on cannula insertion site; matches event core
228221,Tandem Heart Return Cannula Insertion Date,439771001,Date of event,,Tandem Heart Return Cannula Insertion Date,439771001,Date of event,0.80,ok,Observable capturing date/time of an event; matches flowsheet date/time recording
228266,FM Date/Time,,,"code-search proposed 439771001 |Date of event| at 0.75 for 'FM Date/Time', below the 0.8 threshold.",FM Date/Time,439771001,Date of event,0.75,below-threshold,Captures date/time of an event; closest match
228291,IO Insertion Date,439771001,Date of event,,IO Insertion Date,439771001,Date of event,0.80,ok,FSN captures date/time recorded for an event (IO insertion)
228321,PC Date,,,code-search returned no match for 'PC Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,PC Date,,,,no-match,
228331,PC Time of visit,406544004,Time of visit,,PC Time of visit,406544004,Time of visit,0.85,ok,FSN matches core concept 'Time of visit'
228631,Date signed,,,code-search returned no match for 'Date signed' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Date signed,,,,no-match,
228793,Pressure ulcer #1- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
228794,Pressure ulcer #2- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
228795,Pressure ulcer #3- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
228796,Pressure ulcer #4- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
228797,Pressure ulcer #5- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
228798,Pressure ulcer #6- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
228799,Pressure ulcer #7- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
228800,Pressure ulcer #8- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
228801,Pressure ulcer #9- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
228802,Pressure ulcer #10- Dressing change,18949003,Change of dressing,,Pressure ulcer- Dressing change,18949003,Change of dressing,0.85,ok,FSN 'Change of dressing' matches the documented event; pressure ulcer is context
229352,Foley Cath Insertion Date,446583004,Indwelling catheterisation of urinary bladder,,Foley Cath Insertion Date,446583004,Insertion of indwelling catheter into urinary bladder,0.85,ok,Foley catheter insertion = indwelling urinary catheter insertion
229353,Foley Cath Removal Date,43748006,Removal of bladder catheter,,Foley Cath Removal Date,43748006,Removal of urinary bladder catheter,0.85,ok,Foley catheter removal = removal of urinary bladder catheter; date/time is a qualifier
229471,24 Gauge Insertion Date,439771001,Date of event,,24 Gauge Insertion Date,439771001,Date of event,0.80,ok,Observable capturing date/time of an event; matches flowsheet field
229541,EKOS Insertion Date,,,code-search returned no match for 'EKOS Insertion Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,EKOS Insertion Date,,,,no-match,
229542,EKOS Dressing Change,18949003,Change of dressing,,EKOS Dressing Change,18949003,Change of dressing,0.85,ok,Core concept is dressing change; EKOS is unstated context
229549,Avalon Dressing Change,18949003,Change of dressing,,Avalon Dressing Change,18949003,Change of dressing,0.80,ok,Core event is the dressing change; date/time is a recording qualifier
229550,Avalon Insertion Date,439272007,Date of procedure,,Avalon Insertion Date,439272007,Date of procedure,0.80,ok,Avalon insertion date is a date of a procedure
229555,Cardiac Assist Cannula Change,,,code-search returned no match for 'Cardiac Assist Cannula Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Cardiac Assist Cannula Change,,,,no-match,
229556,Cardiac Assist Cannula Date,,,code-search returned no match for 'Cardiac Assist Cannula Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Cardiac Assist Cannula Date,,,,no-match,
229643,Stroke NCP - Ed Given Date,,,"code-search proposed 439771001 |Date of event| at 0.75 for 'Stroke NCP - Ed Given Date', below the 0.8 threshold.",Stroke NCP - Ed Given Date,439771001,Date of event,0.75,below-threshold,Observable for date/time of an event; matches flowsheet field
229651,Stroke NCP - Water Swallow Date,,,code-search returned no match for 'Stroke NCP - Water Swallow Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Stroke NCP - Water Swallow Date,,,,no-match,
229655,Stroke NCP -  Fam Ed Given Date,439771001,Date of event,,Stroke NCP -  Fam Ed Given Date,439771001,Date of event,0.80,ok,Date/time recorded for an event; matches observable entity
229728,18 Gauge Dressing Change,18949003,Change of dressing,,18 Gauge Dressing Change,18949003,Change of dressing,0.85,ok,Core concept is dressing change; 18 gauge is unstated qualifier
229729,18 Gauge Cap Change,,,"code-search proposed 225199003 |Changing intravenous infusion line| at 0.60 for '18 Gauge Cap Change', below the 0.8 threshold.",18 Gauge Cap Change,225199003,Changing intravenous infusion line,0.60,below-threshold,Closest procedure for IV access component change; no specific cap-change code
229730,14 Gauge Dressing Change,18949003,Change of dressing,,14 Gauge Dressing Change,18949003,Change of dressing,0.85,ok,Core event is dressing change; gauge is unstated qualifier
229731,16 Gauge Dressing Change,18949003,Change of dressing,,16 Gauge Dressing Change,18949003,Change of dressing,0.85,ok,Core concept is dressing change; 16 gauge is a device qualifier
229732,20 Gauge Dressing Change,18949003,Change of dressing,,20 Gauge Dressing Change,18949003,Change of dressing,0.85,ok,Core concept is dressing change; gauge is unstated qualifier
229733,22 Gauge Dressing Change,18949003,Change of dressing,,22 Gauge Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change event
229734,24 Gauge Dressing Change,18949003,Change of dressing,,24 Gauge Dressing Change,18949003,Change of dressing,0.85,ok,Core event is dressing change; gauge/context are qualifiers
229735,RIC Dressing Change,18949003,Change of dressing,,RIC Dressing Change,18949003,Change of dressing,0.85,ok,Core event is dressing change; date/time is recording metadata
229736,14 Gauge Cap Change,,,"code-search proposed 423687009 |Peripheral intravenous catheter care| at 0.60 for '14 Gauge Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",14 Gauge Cap Change,423687009,Peripheral intravenous catheter care,0.60,device-care,Cap change on 14G IV is a PIVC maintenance procedure; no exact cap-change concept exists
229737,16 Gauge Cap Change,,,"code-search proposed 423687009 |Peripheral intravenous catheter care| at 0.75 for '16 Gauge Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",16 Gauge Cap Change,423687009,Peripheral intravenous catheter care,0.75,device-care,Closest broader match; cap change is component of peripheral IV catheter care
229738,20 Gauge Cap Change,,,code-search returned no match for '20 Gauge Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,20 Gauge Cap Change,,,,no-match,
229739,22 Gauge Cap Change,,,"code-search proposed 225199003 |Changing intravenous infusion line| at 0.70 for '22 Gauge Cap Change', below the 0.8 threshold.",22 Gauge Cap Change,225199003,Changing intravenous infusion line,0.70,below-threshold,Closest procedure for IV cap change event
229740,24 Gauge Cap Change,,,"code-search proposed 423687009 |Peripheral intravenous catheter care| at 0.70 for '24 Gauge Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",24 Gauge Cap Change,423687009,Peripheral intravenous catheter care,0.70,device-care,No exact 'IV cap change' code; closest broader match is peripheral IV catheter care
229741,RIC Cap Change,,,code-search returned no match for 'RIC Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,RIC Cap Change,,,,no-match,
229883,Pressure ulcer #1- Date Indentified_OLD_1,,,"code-search proposed 439771001 |Date of event| at 0.70 for 'Pressure ulcer- Date Indentified_OLD_1', below the 0.8 threshold.",Pressure ulcer- Date Indentified_OLD_1,439771001,Date of event,0.70,below-threshold,Flowsheet records date identified for pressure ulcer event
229884,Pressure Ulcer #1- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
229885,Pressure Ulcer #2- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
229886,Pressure Ulcer #3- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
229887,Pressure Ulcer #4- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
229888,Pressure Ulcer #5- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
229889,Pressure Ulcer #6- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
229890,Pressure Ulcer #7- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
229891,Pressure Ulcer #8- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
229892,Pressure Ulcer #9- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
229893,Pressure Ulcer #10- Date Indentified,,,"code-search proposed 298059007 |Date of onset| at 0.70 for 'Pressure Ulcer- Date Indentified', below the 0.8 threshold.",Pressure Ulcer- Date Indentified,298059007,Date of onset,0.70,below-threshold,Closest observable for 'date identified'; broader but captures date meaning
