mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,query,normalisation,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
225935,Replete (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete,N1-rate,,,,not-searchable,
225936,Replete with Fiber (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete with Fiber,N1-rate,,,,not-searchable,
225937,Ensure (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Ensure,N1-rate,,,,not-searchable,
225941,D5 1/4NS,http://www.nlm.nih.gov/research/umls/rxnorm,1794903,glucose 50 MG/ML / sodium chloride 2.25 MG/ML Injection,,code-search,,D5 1/4NS,,1794903,glucose 50 MG/ML / sodium chloride 2.25 MG/ML Injection,0.85,ok,D5 1/4NS equals dextrose 5% / NaCl 0.225%; generic code without volume
225942,Fentanyl (Concentrate),http://www.nlm.nih.gov/research/umls/rxnorm,4337,fentanyl,,term-join,Q3-paren,Fentanyl (Concentrate),,,,,not-needed,
225943,Solution,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Solution,,,,,no-match,
225944,Sterile Water,http://www.nlm.nih.gov/research/umls/rxnorm,107129,sterile water,,term-join,Q1-exact,Sterile Water,,,,,not-needed,
225945,Lidocaine,http://www.nlm.nih.gov/research/umls/rxnorm,6387,lidocaine,,term-join,Q1-exact,Lidocaine,,,,,not-needed,
225947,Dextrose PN,,,,"code-search proposed 789708003 'Total parenteral nutrition agent' at 0.75, below the 0.8 threshold.",code-search,,Dextrose PN,,789708003,Total parenteral nutrition agent,0.75,below-threshold,Dextrose PN refers to parenteral nutrition; TPN agent is closest match
225948,Amino Acids,http://snomed.info/sct,764883009,Amino acid-containing product,,code-search,,Amino Acids,,764883009,Amino acid-containing product,0.85,ok,Broadest product match for generic 'Amino Acids'
225969,Lipids (additive),,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Lipids (additive),,,,,no-match,
225970,Beneprotein,,,,"code-search proposed 50800011000036102 'Whey protein formula supplemented with amino acids, vitamins and minerals, and low in protein, phosphate, potassium and lactose powder for oral liquid' at 0.70, below the 0.8 threshold.",code-search,,Beneprotein,,50800011000036102,"Whey protein formula supplemented with amino acids, vitamins and minerals, and low in protein, phosphate, potassium and lactose powder for oral liquid",0.70,below-threshold,Beneprotein is a whey protein powder supplement; closest generic match
225973,Meperidine (Demerol),http://www.nlm.nih.gov/research/umls/rxnorm,6754,meperidine,,term-join,Q3-paren,Meperidine (Demerol),,,,,not-needed,
225974,Metoprolol,http://www.nlm.nih.gov/research/umls/rxnorm,6918,metoprolol,,term-join,Q1-exact,Metoprolol,,,,,not-needed,
225975,Heparin Sodium (Prophylaxis),http://www.nlm.nih.gov/research/umls/rxnorm,9877,heparin sodium,,term-join,Q3-paren,Heparin Sodium (Prophylaxis),,,,,not-needed,
225991,Resource Fruit Beverage,,,,"code-search proposed 373453009 'Nutritional supplement' at 0.70, below the 0.8 threshold.",code-search,,Resource Fruit Beverage,,373453009,Nutritional supplement,0.70,below-threshold,Branded supplement beverage; closest broader match is Nutritional supplement
225993,Optisource,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Optisource,,,,,no-match,
225994,Mighty Shake (Vanilla/Strawberry),,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Mighty Shake (Vanilla/Strawberry),,,,,no-match,
225995,Mighty Shake (Chocolate),,,,"code-search proposed 373453009 'Nutritional supplement' at 0.70, below the 0.8 threshold.",code-search,,Mighty Shake (Chocolate),,373453009,Nutritional supplement,0.70,below-threshold,No exact brand match; closest broader concept is nutritional supplement
225996,Mighty Shake (no sugar added),,,,"code-search proposed 373453009 'Nutritional supplement' at 0.70, below the 0.8 threshold.",code-search,,Mighty Shake (no sugar added),,373453009,Nutritional supplement,0.70,below-threshold,"Branded shake; no exact match, closest is generic nutritional supplement"
226000,Chocolate Scandi Shake (mixed),,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Chocolate Scandi Shake (mixed),,,,,no-match,
226002,Vanilla Lactose Free Scandi Shake (mixed),,,,"code-search proposed 373453009 'Nutritional supplement' at 0.70, below the 0.8 threshold.",code-search,,Vanilla Lactose Free Scandi Shake (mixed),,373453009,Nutritional supplement,0.70,below-threshold,No exact match; broadest concept capturing the shake as a supplement
226016,Nutren 2.0 (1/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren 2.0,N1-rate,,,,not-searchable,
226017,Nutren 2.0 (2/3),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren 2.0,N1-rate,,,,not-searchable,
226019,Nutren 2.0 (1/2),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren 2.0,N1-rate,,,,not-searchable,
226020,Impact (1/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Impact,N1-rate,,,,not-searchable,
226022,Impact (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Impact,N1-rate,,,,not-searchable,
226023,Impact (1/2),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Impact,N1-rate,,,,not-searchable,
226024,Impact with Fiber (1/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Impact with Fiber,N1-rate,,,,not-searchable,
226026,Impact with Fiber (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Impact with Fiber,N1-rate,,,,not-searchable,
226027,Impact with Fiber (1/2),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Impact with Fiber,N1-rate,,,,not-searchable,
226028,Nutren Renal (1/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren Renal,N1-rate,,,,not-searchable,
226030,Nutren Renal (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren Renal,N1-rate,,,,not-searchable,
226031,Nutren Renal (1/2),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren Renal,N1-rate,,,,not-searchable,
226036,Peptamen 1.5 (1/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Peptamen 1.5,N1-rate,,,,not-searchable,
226038,Peptamen 1.5 (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Peptamen 1.5,N1-rate,,,,not-searchable,
226039,Peptamen 1.5 (1/2),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Peptamen 1.5,N1-rate,,,,not-searchable,
226044,Replete (1/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete,N1-rate,,,,not-searchable,
226045,Replete (2/3),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete,N1-rate,,,,not-searchable,
226046,Replete (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete,N1-rate,,,,not-searchable,
226047,Replete (1/2),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete,N1-rate,,,,not-searchable,
226048,Replete with Fiber (1/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete with Fiber,N1-rate,,,,not-searchable,
226049,Replete with Fiber (2/3),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete with Fiber,N1-rate,,,,not-searchable,
226050,Replete with Fiber (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete with Fiber,N1-rate,,,,not-searchable,
226051,Replete with Fiber (1/2),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Replete with Fiber,N1-rate,,,,not-searchable,
226058,Vivonex (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Vivonex,N1-rate,,,,not-searchable,
226059,Vivonex (1/2),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Vivonex,N1-rate,,,,not-searchable,
226089,Piggyback,,,,"code-search proposed 1285293005 'Administration via intravenous route' at 0.85 but that concept is outside the SNOMED CT search constraint, inactive, or outside the international core module.",code-search,,Piggyback,,1285293005,Administration via intravenous route,0.85,gate-failed,Replacement for 'Administration of substance by intravenous piggyback'; same meaning
226361,Pre-Admission/Non-ICU Intake,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Pre-Admission / Non-ICU Intake,N2-slash,,,,no-match,
226363,Cath Lab Intake,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Cath Lab Intake,,,,,no-match,
226364,OR Crystalloid Intake,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,OR Crystalloid Intake,,,,,no-match,
226365,OR Colloid Intake,http://www.nlm.nih.gov/research/umls/rxnorm,421880,"silicon dioxide, colloidal 1 ML/ML Oral Solution",,code-search,,OR Colloid Intake,,421880,"silicon dioxide, colloidal 1 ML/ML Oral Solution",0.85,ok,Colloidal silicon dioxide oral solution matches 'Colloid Intake'
226367,OR FFP Intake,http://snomed.info/sct,346447007,Fresh frozen plasma,,code-search,,OR FFP Intake,,346447007,Fresh frozen plasma,0.80,ok,FFP = fresh frozen plasma; product matches blood product VS
226368,OR Packed RBC Intake,http://snomed.info/sct,431069006,Packed red blood cells,,code-search,,OR Packed RBC Intake,,431069006,Packed red blood cells,0.90,ok,FSN matches 'Packed RBC' exactly
226369,OR Platelet Intake,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,OR Platelet Intake,,,,,no-match,
226370,OR Autologous Blood Intake,http://snomed.info/sct,126240004,Autologous blood product,,code-search,,OR Autologous Blood Intake,,126240004,Autologous blood product,0.80,ok,General autologous blood product matches without overstepping
226371,OR Cryoprecipitate Intake,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,OR Cryoprecipitate Intake,,,,,no-match,
226372,OR Cell Saver Intake,,,,"code-search proposed 262020000 'Operative salvaged blood' at 0.70, below the 0.8 threshold.",code-search,,OR Cell Saver Intake,,262020000,Operative salvaged blood,0.70,below-threshold,Cell saver salvages blood; best match for intake
226375,PACU Crystalloid Intake,,,,"code-search proposed 118431008 'Fluid for intravenous administration' at 0.70, below the 0.8 threshold.",code-search,,PACU Crystalloid Intake,,118431008,Fluid for intravenous administration,0.70,below-threshold,"Crystalloid is IV fluid; no specific crystalloid code found, broader match"
226376,PACU Colloid Intake,http://snomed.info/sct,372578001,Plasma expander,,code-search,,PACU Colloid Intake,,372578001,Plasma expander,0.80,ok,Colloid intake refers to colloid volume expander; plasma expander matches
226377,PACU PO Intake,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,PACU PO Intake,,,,,no-match,
226452,PO Intake,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,PO Intake,,,,,no-match,
226453,GT Flush,,,,"code-search proposed 786818003 'Sodium chloride-containing product in solution for irrigation' at 0.70, below the 0.8 threshold.",code-search,,GT Flush,,786818003,Sodium chloride-containing product in solution for irrigation,0.70,below-threshold,"GT flush = gastrostomy tube flush, typically saline irrigation solution"
226875,Ensure (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Ensure,N1-rate,,,,not-searchable,
226877,Ensure Plus (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Ensure Plus,N1-rate,,,,not-searchable,
226880,Nutren Pulmonary (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren Pulmonary,N1-rate,,,,not-searchable,
226881,Nutren Pulmonary (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren Pulmonary,N1-rate,,,,not-searchable,
226882,Nutren Pulmonary (1/2),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren Pulmonary,N1-rate,,,,not-searchable,
227070,PACU Packed RBC Intake,http://snomed.info/sct,431069006,Packed red blood cells,,code-search,,PACU Packed RBC Intake,,431069006,Packed red blood cells,0.90,ok,FSN matches 'Packed RBC'; PACU/intake are context
227071,PACU Platelet Intake,,,,"code-search proposed 256395009 'Platelet product' at 0.75, below the 0.8 threshold.",code-search,,PACU Platelet Intake,,256395009,Platelet product,0.75,below-threshold,Platelet intake in PACU refers to platelet product/transfusion
227072,PACU FFP Intake,http://snomed.info/sct,346447007,Fresh frozen plasma,,code-search,,PACU FFP Intake,,346447007,Fresh frozen plasma,0.85,ok,FFP = fresh frozen plasma; product matches VS type
227090,Lipids 10%,http://www.nlm.nih.gov/research/umls/rxnorm,200316,soybean oil 100 MG/ML Injectable Suspension,,code-search,,Lipids 10%,,200316,soybean oil 100 MG/ML Injectable Suspension,0.85,ok,10% lipid emulsion; matches 'Lipids 10%'
227518,Nutren 2.0 (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren 2.0,N1-rate,,,,not-searchable,
227520,Methadone Hydrochloride,http://www.nlm.nih.gov/research/umls/rxnorm,218337,methadone hydrochloride,,term-join,Q1-exact,Methadone Hydrochloride,,,,,not-needed,
227522,KCL (Bolus),http://www.nlm.nih.gov/research/umls/rxnorm,8591,potassium chloride,,code-search,,KCL (Bolus),,8591,potassium chloride,0.85,ok,KCL is potassium chloride; bolus is administration qualifier
227523,Magnesium Sulfate (Bolus),http://www.nlm.nih.gov/research/umls/rxnorm,6585,magnesium sulfate,,term-join,Q3-paren,Magnesium Sulfate (Bolus),,,,,not-needed,
227524,Magnesium Sulfate (OB-GYN),http://www.nlm.nih.gov/research/umls/rxnorm,6585,magnesium sulfate,,term-join,Q3-paren,Magnesium Sulfate (OB-GYN),,,,,not-needed,
227525,Calcium Gluconate (CRRT),http://www.nlm.nih.gov/research/umls/rxnorm,1908,calcium gluconate,,term-join,Q3-paren,Calcium Gluconate (CRRT),,,,,not-needed,
227526,Citrate,http://www.nlm.nih.gov/research/umls/rxnorm,114200,citrate,,term-join,Q1-exact,Citrate,,,,,not-needed,
227528,ACD-A Citrate (500ml),,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,ACD-A Citrate (500ml),,,,,no-match,
227529,ACD-A Citrate (1000ml),,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,ACD-A Citrate (1000ml),,,,,no-match,
227530,IV Immune Globulin (IVIG),http://www.nlm.nih.gov/research/umls/rxnorm,2102433,immune globulin intravenous (human) - ifas,,code-search,,IV Immune Globulin (IVIG),,2102433,immune globulin intravenous (human) - ifas,0.85,ok,IVIG = immune globulin intravenous (human); generic match with product qualifier
227531,Mannitol,http://www.nlm.nih.gov/research/umls/rxnorm,6628,mannitol,,term-join,Q1-exact,Mannitol,,,,,not-needed,
227532,Plasma Pheresis,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Plasma Pheresis,,,,,no-match,
227533,Sodium Bicarbonate 8.4% (Amp),http://www.nlm.nih.gov/research/umls/rxnorm,36676,sodium bicarbonate,,code-search,,Sodium Bicarbonate 8.4% (Amp),,36676,sodium bicarbonate,0.85,ok,Base concept matches; concentration/form are unstated qualifiers
227534,Cyclosporine,http://www.nlm.nih.gov/research/umls/rxnorm,3008,cyclosporine,,term-join,Q1-exact,Cyclosporine,,,,,not-needed,
227535,Vitamin K (Phytonadione),http://www.nlm.nih.gov/research/umls/rxnorm,11258,vitamin K,,term-join,Q3-paren,Vitamin K (Phytonadione),,,,,not-needed,
227536,KCl (CRRT),http://www.nlm.nih.gov/research/umls/rxnorm,8591,potassium chloride,,code-search,,KCl (CRRT),,8591,potassium chloride,0.85,ok,KCl is potassium chloride; CRRT is context
227689,Dilantin,http://www.nlm.nih.gov/research/umls/rxnorm,202740,Dilantin,,term-join,Q1-exact,Dilantin,,,,,not-needed,
227690,Fosphenytoin,http://www.nlm.nih.gov/research/umls/rxnorm,72236,fosphenytoin,,term-join,Q1-exact,Fosphenytoin,,,,,not-needed,
227691,Keflex,http://www.nlm.nih.gov/research/umls/rxnorm,203167,Keflex,,term-join,Q1-exact,Keflex,,,,,not-needed,
227692,Isuprel,http://www.nlm.nih.gov/research/umls/rxnorm,1299683,Isuprel,,term-join,Q1-exact,Isuprel,,,,,not-needed,
227694,Omeprazole (Prilosec),http://www.nlm.nih.gov/research/umls/rxnorm,7646,omeprazole,,term-join,Q3-paren,Omeprazole (Prilosec),,,,,not-needed,
227695,Fibersource HN (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Fibersource HN,N1-rate,,,,not-searchable,
227696,Fibersource HN (3/4),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Fibersource HN,N1-rate,,,,not-searchable,
