mimic_code,mimic_display,ucum_code,ucum_display,comment,tier,source_valid_ucum,source_canonical,target_canonical,dimension_changed
ENEMA,ENEMA,{enema},{enema},,dose-form,no,,1 x1,
ERT,ERT,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
EU/dL,EU/dL,,,"Ambiguous: `EU` is used for both Ehrlich units (urinary urobilinogen) and endotoxin units, which are unrelated quantities. MIMIC gives no way to tell which assay this row belongs to.",declined,yes,m-3.s-1 x100369012666666666666666666666666666666.6666666666666666666666666667,,
Enema,Enema,{enema},{enema},,dose-form,no,,1 x1,
Enemas,Enemas,{enema},{enema},,dose-form,no,,1 x1,
FILM,FILM,{film},{film},,dose-form,no,,1 x1,
Floor Stock Bag,Floor Stock Bag,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
G,G,g,g,"As UCUM `G` is the gauss, a unit of magnetic flux density. MIMIC means the gram.",curated,yes,C-1.g.s-1 x0.1,g x1,yes
GEL,GEL,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
GPL,GPL,[GPL'U],[GPL'U],"IgG phospholipid units, on Anticardiolipin Antibody IgG.",curated,no,,(arbitrary) x,
GR,GR,,,"See `gr` — the same ambiguity, in upper case.",declined,yes,C.g-1 x258,,
GRAM,GRAM,g,g,,curated,no,,g x1,
GTT,GTT,{drop},{drop},,dose-form,no,,1 x1,
GUM,GUM,{gum},{gum},,dose-form,no,,1 x1,
Grams,Grams,g,g,,curated,no,,g x1,
HALF TAB,HALF TAB,,,"A fractional quantity fused into the unit string. The value is 0.5 and the unit `{tablet}`, and splitting the two is an ETL fix rather than a mapping — a ConceptMap can only supply the unit.",declined,no,,,
INCH,INCH,[in_i],[in_i],,curated,no,,m x0.0254,
INH,INH,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
INJ,INJ,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
IU,IU,[IU],[IU],,curated,no,,(arbitrary) x,
IU/L,IU/L,[IU]/L,[IU]/L,,curated,no,,(arbitrary) x,
IU/mL,IU/mL,[IU]/mL,[IU]/mL,,curated,no,,(arbitrary) x,
Inch,Inch,[in_i],[in_i],,curated,no,,m x0.0254,
International Units,International Units,[IU],[IU],,curated,no,,(arbitrary) x,
JAR,JAR,{jar},{jar},,dose-form,no,,1 x1,
K/uL,K/uL,10*3/uL,10*3/uL,"MIMIC writes `K` for `thousands`, on Platelet Count, White Blood Cells and 15 other haematology items. As UCUM the source string is valid and denotes KELVIN per microlitre, so this row changes what the number means rather than only how it is written — which is the point: the source spelling was wrong, not merely non-standard.",curated,yes,K.m-3 x1000000000,m-3 x1000000000000,yes
KIT,KIT,{kit},{kit},,dose-form,no,,1 x1,
L,L,L,L,,curated,yes,m+3 x0.001,m+3 x0.001,no
L/min,L/min,L/min,L/min,,curated,yes,m+3.s-1 x0.00001666666666666666666666666666666666666666666667,m+3.s-1 x0.00001666666666666666666666666666666666666666666667,no
L/min/m2,L/min/m2,L/min/m2,L/min/m2,,curated,yes,m.s-1 x0.00001666666666666666666666666666666666666666666667,m.s-1 x0.00001666666666666666666666666666666666666666666667,no
LIQ,LIQ,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
LOT,LOT,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
LOZ,LOZ,{lozenge},{lozenge},,dose-form,no,,1 x1,
Liters,Liters,L,L,"Spelled-out litre, on a fluid volume.",curated,no,,m+3 x0.001,
MCG,MCG,ug,ug,,curated,no,,g x0.000001,
MCG/KG/MIN,MCG/KG/MIN,ug/(kg.min),ug/(kg.min),,curated,no,,s-1 x0.00000000001666666666666666666666666666666666666667,
MD to order daily dose,MD to order daily dose,,,"A workflow instruction, not a unit.",declined,no,,,
MG,MG,mg,mg,"As UCUM `MG` is the MEGAGAUSS — `M` prefixing `G`, the gauss — so the source is not merely the wrong scale but the wrong DIMENSION entirely. MIMIC means the milligram; the string is a case error in a prescription column.",curated,yes,C-1.g.s-1 x100000,g x0.001,yes
MILLI UNITS/MIN,MILLI UNITS/MIN,m[IU]/min,m[IU]/min,,curated,no,,(arbitrary) x,
ML,ML,mL,mL,As UCUM `ML` is the MEGAlitre. MIMIC means the millilitre.,curated,yes,m+3 x1000,m+3 x0.000001,yes
MPL,MPL,[MPL'U],[MPL'U],"IgM phospholipid units, on Anticardiolipin Antibody IgM.",curated,no,,(arbitrary) x,
MU,MU,,,"Ambiguous between the megaunit and an abbreviation of milliunit — a factor of 10^9 apart. Not resolvable from the string, and guessing either would misstate a dose.",declined,yes,s-1 x10036901266666666666666.66666666666666666666666666666666666666666667,,
Mcg/kg/hr,Mcg/kg/hr,ug/(kg.h),ug/(kg.h),,curated,no,,s-1 x0.00000000000027777777777777777777777777777777777778,
Mg,Mg,mg,mg,"As UCUM `Mg` is the MEGAgram, a thousand million times the intended milligram. Note this differs from `MG` in the same table, which is not a mass at all — the two case variants of one MIMIC string parse as two unrelated units.",curated,yes,g x1000000,g x0.001,yes
Mg/hr,Mg/hr,mg/h,mg/h,,curated,no,,g.s-1 x0.00000027777777777777777777777777777777777777777778,
Million Cells,Million Cells,10*6.{cells},10*6.{cells},,curated,no,,1 x1000000,
Million Units,Million Units,10*6.[IU],10*6.[IU],See `million units`.,curated,no,,(arbitrary) x,
N/A,N/A,,,"The literal string `N/A`, recorded on 28 Observation codes including dRVVT and SCT screens, where the result is a ratio reported without a unit. It is a placeholder, not a unit. Note it parses as valid UCUM — NEWTON PER AMPERE — which is why it must be declined explicitly rather than left to a validity check to catch.",declined,yes,C-1.g.m.s-1 x1000,,
NEB,NEB,{nebule},{nebule},,dose-form,no,,1 x1,
NEEDLE,NEEDLE,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
NG/,NG/,,,A truncated unit string; the denominator is missing.,declined,no,,,
Neb,Neb,{nebule},{nebule},,dose-form,no,,1 x1,
Notify,Notify,,,"A workflow instruction, not a unit.",declined,no,,,
OINT,OINT,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
PACK,PACK,{packet},{packet},,dose-form,no,,1 x1,
PAD,PAD,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
PE (Phenytoin Sodium Equivalent),PE (Phenytoin Sodium Equivalent),,,"Names a dose-equivalence convention rather than a unit. Fosphenytoin is dosed in phenytoin sodium equivalents, which UCUM cannot express; `mg` alone would drop the convention and make the dose ambiguous.",declined,no,,,
PEN,PEN,{pen},{pen},,dose-form,no,,1 x1,
PKG,PKG,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
PKT,PKT,{packet},{packet},,dose-form,no,,1 x1,
PPN Bag,PPN Bag,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
PTCH,PTCH,{patch},{patch},,dose-form,no,,1 x1,
PTCHS,PTCHS,{patch},{patch},,dose-form,no,,1 x1,
PUFF,PUFF,{puff},{puff},,dose-form,no,,1 x1,
PUFFS,PUFFS,{puff},{puff},,dose-form,no,,1 x1,
PUMP,PUMP,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
PWDR,PWDR,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
Patch,Patch,{patch},{patch},,dose-form,no,,1 x1,
Pos/Neg,Pos/Neg,,,"A qualitative result marker, not a unit. The Observation carrying it should use valueCodeableConcept rather than valueQuantity.",declined,no,,,
Quarter Tab,Quarter Tab,,,See `HALF TAB`.,declined,no,,,
RING,RING,{ring},{ring},,dose-form,no,,1 x1,
RPM,RPM,/min{rev},/min{rev},"Revolutions per minute, on ICU device settings.",curated,no,,s-1 x0.01666666666666666666666666666666666666666666666667,
Ratio,Ratio,1,1,"A dimensionless ratio of two like quantities — Cholesterol Total/HDL, Protein/Creatinine, CD4/CD8. UCUM spells that `1`. The source string names the KIND of quantity rather than a unit, so no scale information is lost here; there was none to lose.",curated,no,,1 x1,
SBTL,SBTL,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
SCOOP,SCOOP,{scoop},{scoop},,dose-form,no,,1 x1,
SOLN,SOLN,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
SPG,SPG,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
SPRY,SPRY,{spray},{spray},,dose-form,no,,1 x1,
STCK,STCK,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
STRP,STRP,{strip},{strip},,dose-form,no,,1 x1,
SUPP,SUPP,{suppository},{suppository},,dose-form,no,,1 x1,
SUSP,SUSP,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
SWAB,SWAB,{swab},{swab},,dose-form,no,,1 x1,
SYR,SYR,{syringe},{syringe},,dose-form,no,,1 x1,
SYRP,SYRP,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
Score,Score,{score},{score},"Leukocyte Alkaline Phosphatase score: a dimensionless clinical score, not a measured quantity. Mapped to an annotated `1` so it stays distinguishable from a true ratio after translation.",curated,no,,1 x1,
Syringe,Syringe,{syringe},{syringe},,dose-form,no,,1 x1,
TAB,TAB,{tablet},{tablet},,dose-form,no,,1 x1,
TC,TC,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,yes,C x1000000000000,,
TPN Bag,TPN Bag,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
TROC,TROC,{troche},{troche},,dose-form,no,,1 x1,
TUBE,TUBE,{tube},{tube},,dose-form,no,,1 x1,
Tab,Tab,{tablet},{tablet},,dose-form,no,,1 x1,
U,U,U,U,"Left as the UCUM enzyme unit, which is what the string literally says. Note the three Observation codes carrying it are displayed `I`, `H` and `L`, which do not identify an assay — so this row is the literal reading rather than a confirmed one, and a consumer needing the assay's own unit should not rely on it.",curated,yes,s-1 x10036901266666666.66666666666666666666666666666666666666666666666667,s-1 x10036901266666666.66666666666666666666666666666666666666666666666667,no
U/L,U/L,U/L,U/L,,curated,yes,m-3.s-1 x10036901266666666666.66666666666666666666666666666666666666666666667,m-3.s-1 x10036901266666666666.66666666666666666666666666666666666666666666667,no
U/g/Hb,U/g/Hb,U/g{Hb},U/g{Hb},"Quantitative G6PD, reported per gram of haemoglobin. `{Hb}` annotates the gram rather than dividing by it a second time — the source string's second `/` is not a division.",curated,no,,g-1.s-1 x10036901266666666.66666666666666666666666666666666666666666666666667,
U/hr,U/hr,[IU]/h,[IU]/h,,curated,no,,(arbitrary) x,
U/mL,U/mL,U/mL,U/mL,,curated,yes,m-3.s-1 x10036901266666666666666.66666666666666666666666666666666666666666667,m-3.s-1 x10036901266666666666666.66666666666666666666666666666666666666666667,no
UDCUP,UDCUP,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
UNIT,UNIT,[IU],[IU],,curated,no,,(arbitrary) x,
UNIT/1000ML,UNIT/1000ML,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
UNIT/HR,UNIT/HR,[IU]/h,[IU]/h,,curated,no,,(arbitrary) x,
UNIT/KG,UNIT/KG,[IU]/kg,[IU]/kg,,curated,no,,(arbitrary) x,
UNIT/kg/HR,UNIT/kg/HR,[IU]/(kg.h),[IU]/(kg.h),,curated,no,,(arbitrary) x,
UNITS,UNITS,[IU],[IU],,curated,no,,(arbitrary) x,
Umits,Umits,,,"A misspelling of `units`, and inheriting its ambiguity.",declined,no,,,
Unit,Unit,[IU],[IU],,curated,no,,(arbitrary) x,
Units,Units,[IU],[IU],,curated,no,,(arbitrary) x,
Units Humalog,Units Humalog,,,"An insulin unit qualified by the PRODUCT. The quantity is `[IU]`, but the product belongs in the medication reference rather than the unit, and mapping it to `[IU]` alone would let two different insulins compare as equal.",declined,no,,,
Units Insulin 70 / 30,Units Insulin 70 / 30,,,See `Units Humalog`.,declined,no,,,
Units Insulin Glargine,Units Insulin Glargine,,,See `Units Humalog`.,declined,no,,,
Units Insulin NPH,Units Insulin NPH,,,See `Units Humalog`.,declined,no,,,
Units Regular,Units Regular,,,See `Units Humalog`.,declined,no,,,
Units VWF:RCo,Units VWF:RCo,,,Von Willebrand factor ristocetin cofactor activity units. An assay-specific activity unit with no UCUM expression; `[IU]` would lose the assay the value is only interpretable against.,declined,no,,,
Units/Hr,Units/Hr,[IU]/h,[IU]/h,,curated,no,,(arbitrary) x,
Units/Liter,Units/Liter,[IU]/L,[IU]/L,,curated,no,,(arbitrary) x,
Units/kg,Units/kg,[IU]/kg,[IU]/kg,,curated,no,,(arbitrary) x,
VIAL,VIAL,{vial},{vial},,dose-form,no,,1 x1,
Vial,Vial,{vial},{vial},,dose-form,no,,1 x1,
WAF,WAF,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
_UNIT,_UNIT,[IU],[IU],,curated,no,,(arbitrary) x,
___,___,,,"A placeholder for a missing unit, not a unit.",declined,no,,,
appl,appl,{applicator},{applicator},,dose-form,no,,1 x1,
application,application,{application},{application},,dose-form,no,,1 x1,
bag,bag,{bag},{bag},,dose-form,no,,1 x1,
billion cell,billion cell,10*9.{cells},10*9.{cells},,curated,no,,1 x1000000000,
bo,bo,,,Not a unit. No expansion of this string is recorded in MIMIC.,declined,no,,,
bottle,bottle,{bottle},{bottle},,dose-form,no,,1 x1,
bpm,bpm,/min{beats},/min{beats},"The `{beats}` annotation is carried deliberately. It is dimensionless to UCUM — this canonicalises to `s-1` exactly as plain `/min` does — and it keeps beats per minute distinguishable from breaths per minute after translation. Note MIMIC's own ETL chose plain `/min` where it populated a UCUM code itself, so translated and untranslated MIMIC data will differ in spelling here.",curated,no,,s-1 x0.01666666666666666666666666666666666666666666666667,
btl,btl,{bottle},{bottle},,dose-form,no,,1 x1,
cap,cap,{capsule},{capsule},,dose-form,no,,1 x1,
caps,caps,{capsule},{capsule},,dose-form,no,,1 x1,
capsule,capsule,{capsule},{capsule},,dose-form,no,,1 x1,
capsules,capsules,{capsule},{capsule},,dose-form,no,,1 x1,
cc,cc,mL,mL,"Cubic centimetre as prescribers write it. Exactly equal to the millilitre, so nothing is lost; normalised because `cc` is not UCUM.",curated,no,,m+3 x0.000001,
cc/hr,cc/hr,mL/h,mL/h,,curated,no,,m+3.s-1 x0.00000000027777777777777777777777777777777777777778,
cell,cell,{cell},{cell},,curated,no,,1 x1,
chamber,chamber,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
cm,cm,cm,cm,,curated,yes,m x0.01,m x0.01,no
cm3,cm3,cm3,cm3,,curated,yes,m+3 x0.000001,m+3 x0.000001,no
cmH2O,cmH2O,cm[H2O],cm[H2O],,curated,no,,g.m-1.s-2 x98066.5,
cmH2O/L/seconds,cmH2O/L/seconds,cm[H2O].s/L,cm[H2O].s/L,Airway resistance. The source's two `/` are not both divisions — the quantity is pressure x time / volume — so this row reorders the expression rather than transcribing it.,curated,no,,g.m-4.s-1 x98066500,
cp,cp,{capsule},{capsule},,dose-form,no,,1 x1,
cps,cps,{capsule},{capsule},,dose-form,no,,1 x1,
dose,dose,{dose},{dose},,dose-form,no,,1 x1,
doses,doses,{dose},{dose},,dose-form,no,,1 x1,
drop,drop,{drop},{drop},,dose-form,no,,1 x1,
drop ou,drop ou,,,"`ou` is the administration site (oculus uterque, both eyes), not part of the unit. The quantity is `{drop}`, but the site belongs in Dosage.site rather than in the unit, and this generator does not split a source string across two fields.",declined,no,,,
drops,drops,{drop},{drop},,dose-form,no,,1 x1,
dynes*sec/cm5,dynes*sec/cm5,dyn.s/cm5,dyn.s/cm5,,curated,no,,g.m-4.s-1 x100000000,
dynes*sec/cm5/m2,dynes*sec/cm5/m2,dyn.s/(cm5.m2),dyn.s/(cm5.m2),,curated,no,,g.m-6.s-1 x100000000,
dynes.sec.cm-5/m2,dynes.sec.cm-5/m2,dyn.s/(cm5.m2),dyn.s/(cm5.m2),,curated,no,,g.m-6.s-1 x100000000,
ea,ea,{each},{each},,dose-form,no,,1 x1,
enema,enema,{enema},{enema},,dose-form,no,,1 x1,
fL,fL,fL,fL,,curated,yes,m+3 x0.000000000000000001,m+3 x0.000000000000000001,no
film,film,{film},{film},,dose-form,no,,1 x1,
g,g,g,g,,curated,yes,g x1,g x1,no
g/1L NS,g/1L NS,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
g/dL,g/dL,g/dL,g/dL,,curated,yes,g.m-3 x10000,g.m-3 x10000,no
g/dl,g/dl,g/dL,g/dL,,curated,yes,g.m-3 x10000,g.m-3 x10000,no
g/h,g/h,g/h,g/h,,curated,yes,g.s-1 x0.00027777777777777777777777777777777777777777777778,g.s-1 x0.00027777777777777777777777777777777777777777777778,no
g/hr,g/hr,g/h,g/h,,curated,no,,g.s-1 x0.00027777777777777777777777777777777777777777777778,
g/kg,g/kg,g/kg,g/kg,,curated,yes,1 x0.001,1 x0.001,no
g\ 0 g,g\ 0 g,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
gg,gg,,,Not a unit. No expansion of this string is recorded in MIMIC.,declined,no,,,
gm,gm,g,g,,curated,no,,g x1,
gm/hr,gm/hr,g/h,g/h,,curated,no,,g.s-1 x0.00027777777777777777777777777777777777777777777778,
gmgm,gmgm,,,An ETL artefact: the unit string `gm` duplicated.,declined,no,,,
gr,gr,,,"Ambiguous between the apothecary grain (UCUM `[gr]`, 64.8 mg) and an abbreviation of gram, which differ by a factor of 15. MIMIC gives no way to tell which was meant, and choosing either would silently rescale a dose.",declined,no,,,
gram,gram,g,g,,curated,no,,g x1,
gram/100 mL,gram/100 mL,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
gram/118 mL,gram/118 mL,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
gram/30 mL,gram/30 mL,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
grams,grams,g,g,,curated,no,,g x1,
grams/hour,grams/hour,g/h,g/h,,curated,no,,g.s-1 x0.00027777777777777777777777777777777777777777777778,
grams/min,grams/min,g/min,g/min,,curated,no,,g.s-1 x0.01666666666666666666666666666666666666666666666667,
gtt,gtt,{drop},{drop},,dose-form,no,,1 x1,
gummies,gummies,{gummy},{gummy},,dose-form,no,,1 x1,
hour,hour,h,h,,curated,no,,s x3600,
hrs,hrs,h,h,,curated,no,,s x3600,
in,in,[in_i],[in_i],,curated,no,,m x0.0254,
insp/min,insp/min,/min{insp},/min{insp},See `bpm`. `insp` is inspirations; the annotation keeps this distinct from heart rate after translation.,curated,no,,s-1 x0.01666666666666666666666666666666666666666666666667,
iu/0iu,iu/0iu,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
kcal/day,kcal/day,kcal/d,kcal/d,,curated,no,,g.m+2.s-3 x48.42592592592592592592592592592592592592592592592593,
kcal/kg,kcal/kg,kcal/kg,kcal/kg,,curated,yes,m+2.s-2 x4184,m+2.s-2 x4184,no
kg,kg,kg,kg,,curated,yes,g x1000,g x1000,no
lbs,lbs,[lb_av],[lb_av],,curated,no,,g x453.59237,
log10 IU/mL,log10 IU/mL,,,"UCUM has no logarithm operator — `[lg]` is not a unit — so a log10 concentration cannot be written as a UCUM expression at all. Declined because the alternative is dropping the `log10` and publishing a target that claims the value is a linear concentration, which would be wrong by orders of magnitude and silent.",declined,no,,,
log10 cop/mL,log10 cop/mL,,,"UCUM has no logarithm operator — `[lg]` is not a unit — so a log10 concentration cannot be written as a UCUM expression at all. Declined because the alternative is dropping the `log10` and publishing a target that claims the value is a linear concentration, which would be wrong by orders of magnitude and silent.",declined,no,,,
log10 copies/mL,log10 copies/mL,,,"UCUM has no logarithm operator — `[lg]` is not a unit — so a log10 concentration cannot be written as a UCUM expression at all. Declined because the alternative is dropping the `log10` and publishing a target that claims the value is a linear concentration, which would be wrong by orders of magnitude and silent.",declined,no,,,
lozenge,lozenge,{lozenge},{lozenge},,dose-form,no,,1 x1,
lozenges,lozenges,{lozenge},{lozenge},,dose-form,no,,1 x1,
m/uL,m/uL,10*6/uL,10*6/uL,"MIMIC writes `m` for `millions`, on Red Blood Cells and Reticulocyte Count. As UCUM the source string is valid and denotes METRES per microlitre. Same class as `K/uL`.",curated,yes,m-2 x1000000000,m-3 x1000000000000000,yes
mA,mA,mA,mA,,curated,yes,C.s-1 x0.001,C.s-1 x0.001,no
mEQ,mEQ,meq,meq,,curated,no,,1 x602214076000000000000,
mEq,mEq,meq,meq,,curated,no,,1 x602214076000000000000,
mEq / 100 mL SW,mEq / 100 mL SW,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
mEq / 250 mL D5W,mEq / 250 mL D5W,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
mEq / 250 mL NS,mEq / 250 mL NS,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
mEq / 500 mL D5W,mEq / 500 mL D5W,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
mEq / 500 mL NS,mEq / 500 mL NS,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
mEq / hr,mEq / hr,meq/h,meq/h,,curated,no,,s-1 x167281687777777777.77777777777777777777777777777777777777777777777778,
mEq in 1L,mEq in 1L,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
mEq.,mEq.,meq,meq,,curated,no,,1 x602214076000000000000,
