mimic_code,mimic_display,rxnorm_code,rxnorm_display,comment,method,join_rung,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
019901,morphine,7052,morphine,,term-join,Q1-exact,,,,not-needed,
019964,Vegetable Laxative,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
020040,felbamate,24812,felbamate,,term-join,Q1-exact,,,,not-needed,
020041,Felbatol,224900,Felbatol,,term-join,Q1-exact,,,,not-needed,
020042,Felbatol,224900,Felbatol,,term-join,Q1-exact,,,,not-needed,
020052,furosemide,4603,furosemide,,term-join,Q1-exact,,,,not-needed,
020166,morphine,7052,morphine,,term-join,Q1-exact,,,,not-needed,
020174,sulfamethoxazole-trimethoprim,10831,sulfamethoxazole / trimethoprim,,code-search,,10831,sulfamethoxazole / trimethoprim,0.95,ok,FSN matches the combination drug exactly
020175,Lodine,202998,Lodine,,term-join,Q1-exact,,,,not-needed,
020176,Synthroid,224920,Synthroid,,term-join,Q1-exact,,,,not-needed,
020181,acetaminophen-caff-pyrilamine [Midol Complete],214137,acetaminophen / caffeine / pyrilamine,,code-search,,214137,acetaminophen / caffeine / pyrilamine,0.90,ok,FSN matches the abbreviated ingredient combination exactly
020241,Precose,151826,Precose,,term-join,Q1-exact,,,,not-needed,
020242,Precose,151826,Precose,,term-join,Q1-exact,,,,not-needed,
020279,diclofenac-misoprostol [Arthrotec 50],857706,diclofenac sodium 50 MG / miSOPROStol 0.2 MG Delayed Release Oral Tablet,,code-search,,857706,diclofenac sodium 50 MG / miSOPROStol 0.2 MG Delayed Release Oral Tablet,0.90,ok,Arthrotec 50 is diclofenac 50mg/misoprostol 0.2mg tablet
020493,Amoxil,203169,Amoxil,,term-join,Q1-exact,,,,not-needed,
020542,zinc oxide-white petrolatum,1009077,petrolatum / zinc oxide,,code-search,,1009077,petrolatum / zinc oxide,0.95,ok,FSN matches input exactly
020584,Nizoral A-D,240812,ketoconazole 1 % Medicated Shampoo,,code-search,,240812,ketoconazole 1 % Medicated Shampoo,0.85,ok,Nizoral A-D is OTC ketoconazole 1% dandruff shampoo
020611,vancomycin in dextrose 5 %,,,"code-search proposed 11124 'vancomycin' at 0.70, below the 0.85 threshold.",code-search,,11124,vancomycin,0.70,below-threshold,Base drug concept; dextrose diluent not separately coded
020616,Procardia XL,7417,nifedipine,,code-search,,7417,nifedipine,0.85,ok,Procardia XL is brand of nifedipine extended release; ingredient matches
020617,Procardia XL,7417,nifedipine,,code-search,,7417,nifedipine,0.85,ok,Procardia XL is brand of nifedipine extended release; ingredient matches
020618,Procardia XL,7417,nifedipine,,code-search,,7417,nifedipine,0.85,ok,Procardia XL is brand of nifedipine extended release; ingredient matches
020647,Onfi,1191051,Onfi,,term-join,Q1-exact,,,,not-needed,
020741,pravastatin [Pravachol],42463,pravastatin,,term-join,B1-generic,,,,not-needed,
020845,Iopidine,151908,Iopidine,,term-join,Q1-exact,,,,not-needed,
020986,Pangestyme CN 10,,,"code-search proposed 235379 'pancrelipase' at 0.75, below the 0.85 threshold.",code-search,,235379,pancrelipase,0.75,below-threshold,Brand product; ingredient is pancrelipase in ingredient VS
020987,rimantadine,9386,rimantadine,,term-join,Q1-exact,,,,not-needed,
020990,theophylline [Theo-24],10438,theophylline,,term-join,B1-generic,,,,not-needed,
021002,miconazole nitrate [Fungoid Tincture],42790,miconazole nitrate,,term-join,B1-generic,,,,not-needed,
021004,megestrol [Megace Oral],6703,megestrol,,term-join,B1-generic,,,,not-needed,
021012,Calcium Citrate With D,1007835,calcium citrate / cholecalciferol,,code-search,,1007835,calcium citrate / cholecalciferol,0.85,ok,Generic calcium citrate with vitamin D combination
021072,calcium carbonate,1897,calcium carbonate,,term-join,Q1-exact,,,,not-needed,
021108,tretinoin [Atralin],10753,tretinoin,,term-join,B1-generic,,,,not-needed,
021134,Dovonex,216731,Dovonex,,term-join,Q1-exact,,,,not-needed,
021139,Ziac,75038,Ziac,,term-join,Q1-exact,,,,not-needed,
021140,Ziac,75038,Ziac,,term-join,Q1-exact,,,,not-needed,
021141,Ziac,75038,Ziac,,term-join,Q1-exact,,,,not-needed,
021154,risperidone [Risperdal],35636,risperidone,,term-join,B1-generic,,,,not-needed,
021155,risperidone [Risperdal],35636,risperidone,,term-join,B1-generic,,,,not-needed,
021156,risperidone [Risperdal],35636,risperidone,,term-join,B1-generic,,,,not-needed,
021157,risperidone [Risperdal],35636,risperidone,,term-join,B1-generic,,,,not-needed,
021175,pentosan polysulfate sodium [Elmiron],134413,pentosan polysulphate sodium,,term-join,B1-generic,,,,not-needed,
021182,calcium carbonate,1897,calcium carbonate,,term-join,Q1-exact,,,,not-needed,
021185,Zosyn,74170,Zosyn,,term-join,Q1-exact,,,,not-needed,
021186,Zosyn,74170,Zosyn,,term-join,Q1-exact,,,,not-needed,
021187,Zosyn,74170,Zosyn,,term-join,Q1-exact,,,,not-needed,
021191,prednicarbate,34369,prednicarbate,,term-join,Q1-exact,,,,not-needed,
021193,Glynase,881404,Glynase,,term-join,Q1-exact,,,,not-needed,
021199,Tussin,579827,Tussinate,,code-search,,579827,Tussinate,0.85,ok,
021205,erythromycin ethylsuccinate [EryPed 200],4056,erythromycin ethylsuccinate,,term-join,B1-generic,,,,not-needed,
021206,erythromycin ethylsuccinate [EryPed 400],4056,erythromycin ethylsuccinate,,term-join,B1-generic,,,,not-needed,
021225,lactase [Lactaid],41397,lactase,,term-join,B1-generic,,,,not-needed,
021251,fluticasone propionate [Flovent HFA],50121,fluticasone propionate,,term-join,B1-generic,,,,not-needed,
021253,fluticasone propionate [Flovent HFA],50121,fluticasone propionate,,term-join,B1-generic,,,,not-needed,
021277,Zestoretic,85783,Zestoretic,,term-join,Q1-exact,,,,not-needed,
021279,Belladonna Alkaloids,1359,belladonna alkaloids,,term-join,Q1-exact,,,,not-needed,
021282,diltiazem HCl [DILT-CD],203211,diltiazem hydrochloride,,term-join,B2-generic-salt,,,,not-needed,
021288,bromelains (bulk) [Bromelain],1752,bromelains,,term-join,B3-generic-paren,,,,not-needed,
021297,amiloride,644,amiloride,,term-join,Q1-exact,,,,not-needed,
021313,calcium sulfate,1925,calcium sulfate,,term-join,Q1-exact,,,,not-needed,
021315,evening primrose oil [Evening Primrose],203219,evening primrose oil,,term-join,B1-generic,,,,not-needed,
021380,diclofenac potassium [Cataflam],81997,diclofenac potassium,,term-join,B1-generic,,,,not-needed,
021381,wound dressings [Triad Wound Dressing],,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
021383,Biotin,1588,biotin,,term-join,Q1-exact,,,,not-needed,
021400,Timoptic-XE,,,"code-search proposed 42933 'timolol maleate' at 0.80, below the 0.85 threshold.",code-search,,42933,timolol maleate,0.80,below-threshold,Timoptic-XE is a brand of timolol maleate ophthalmic gel; ingredient match
021401,Timoptic-XE,,,"code-search proposed 42933 'timolol maleate' at 0.80, below the 0.85 threshold.",code-search,,42933,timolol maleate,0.80,below-threshold,Timoptic-XE is a brand of timolol maleate ophthalmic gel; ingredient match
021406,torsemide [Demadex],38413,torsemide,,term-join,B1-generic,,,,not-needed,
021407,torsemide [Demadex],38413,torsemide,,term-join,B1-generic,,,,not-needed,
021408,torsemide [Demadex],38413,torsemide,,term-join,B1-generic,,,,not-needed,
021409,torsemide [Demadex],38413,torsemide,,term-join,B1-generic,,,,not-needed,
021410,torsemide,38413,torsemide,,term-join,Q1-exact,,,,not-needed,
021411,estradiol [Estrace],4083,estradiol,,term-join,B1-generic,,,,not-needed,
021413,NEUROntin,196498,Neurontin,,term-join,Q1-exact,,,,not-needed,
021414,Neurontin,196498,Neurontin,,term-join,Q1-exact,,,,not-needed,
021415,Neurontin,196498,Neurontin,,term-join,Q1-exact,,,,not-needed,
021416,Pulmozyme,74704,Pulmozyme,,term-join,Q1-exact,,,,not-needed,
021418,vitamin E,11256,vitamin E,,term-join,Q1-exact,,,,not-needed,
021419,vitamin E,11256,vitamin E,,term-join,Q1-exact,,,,not-needed,
021430,ammonium lactate,215247,ammonium lactate,,term-join,Q1-exact,,,,not-needed,
021438,hydrochlorothiazide (bulk),5487,hydrochlorothiazide,,term-join,Q3-paren,,,,not-needed,
021439,ibuprofen (bulk),5640,ibuprofen,,term-join,Q3-paren,,,,not-needed,
021440,hypromellose,27334,hypromellose,,term-join,Q1-exact,,,,not-needed,
021443,chlorhexidine gluconate (bulk),20791,chlorhexidine gluconate,,term-join,Q3-paren,,,,not-needed,
021452,meclizine,6676,meclizine,,term-join,Q1-exact,,,,not-needed,
021464,miconazole nitrate,42790,miconazole nitrate,,term-join,Q1-exact,,,,not-needed,
021483,fluticasone propionate [Flovent HFA],50121,fluticasone propionate,,term-join,B1-generic,,,,not-needed,
021501,dobutamine in D5W,3616,dobutamine,,code-search,,3616,dobutamine,0.85,ok,Dobutamine is the active drug; D5W is the diluent vehicle
021502,DOBUTamine 250mg BAG,309985,DOBUTamine 250 MG in 250 ML Injection,,code-search,,309985,DOBUTamine 250 MG in 250 ML Injection,0.88,ok,Dose matches; 250 ML bag volume inferred from 'BAG'
021503,dobutamine in D5W,3616,dobutamine,,code-search,,3616,dobutamine,0.85,ok,Dobutamine is the active drug; D5W is the diluent vehicle
021523,alprazolam [Alprazolam Intensol],596,alprazolam,,term-join,B1-generic,,,,not-needed,
021525,menthol,6750,menthol,,term-join,Q1-exact,,,,not-needed,
021527,nitroglycerin,4917,nitroglycerin,,term-join,Q1-exact,,,,not-needed,
021592,granisetron HCl,142149,granisetron hydrochloride,,term-join,Q2-salt,,,,not-needed,
021600,NiCARdipine IV,7396,nicardipine,,code-search,,7396,nicardipine,0.85,ok,Base drug matches; IV is route qualifier not separately coded
021605,sodium chloride [Saline Wound Wash],9863,sodium chloride,,term-join,B1-generic,,,,not-needed,
021606,testosterone [Androderm],10379,testosterone,,term-join,B1-generic,,,,not-needed,
021608,theophylline [Theo-24],10438,theophylline,,term-join,B1-generic,,,,not-needed,
021609,theophylline [Theo-24],10438,theophylline,,term-join,B1-generic,,,,not-needed,
021610,theophylline [Theo-24],10438,theophylline,,term-join,B1-generic,,,,not-needed,
021613,Sudafed 24 Hour,1049670,pseudoephedrine HCl 240 MG 24HR Extended Release Oral Tablet,,code-search,,1049670,pseudoephedrine HCl 240 MG 24HR Extended Release Oral Tablet,0.85,ok,Sudafed 24 Hour is pseudoephedrine 240mg 24hr extended release
021616,miconazole nitrate,42790,miconazole nitrate,,term-join,Q1-exact,,,,not-needed,
021648,morphine,7052,morphine,,term-join,Q1-exact,,,,not-needed,
021687,Zyrtec,58930,Zyrtec,,term-join,Q1-exact,,,,not-needed,
021688,Pepcid AC,4278,famotidine,,code-search,,4278,famotidine,0.85,ok,Pepcid AC is brand name for famotidine
021692,vitamin A palmitate,35406,vitamin A palmitate,,term-join,Q1-exact,,,,not-needed,
021694,Lescol,151972,Lescol,,term-join,Q1-exact,,,,not-needed,
021695,Lescol,151972,Lescol,,term-join,Q1-exact,,,,not-needed,
021697,Tums Ultra,,,"code-search proposed 1897 'calcium carbonate' at 0.80, below the 0.85 threshold.",code-search,,1897,calcium carbonate,0.80,below-threshold,Tums Ultra is a calcium carbonate antacid brand
021700,Ipratropium Bromide Neb 1Neb,836358,ipratropium bromide 0.02 % Inhalation Solution,,code-search,,836358,ipratropium bromide 0.02 % Inhalation Solution,0.85,ok,Nebulizer solution form of ipratropium bromide
021704,potassium hydroxide,34311,potassium hydroxide,,term-join,Q1-exact,,,,not-needed,
021705,Zosyn,74170,Zosyn,,term-join,Q1-exact,,,,not-needed,
021706,alprazolam,596,alprazolam,,term-join,Q1-exact,,,,not-needed,
021708,povidone-iodine [Betadine Ophthalmic Prep],8611,povidone-iodine,,term-join,B1-generic,,,,not-needed,
021715,Zonalon,9801,Zonalon,,term-join,Q1-exact,,,,not-needed,
021718,triamterene-hydrochlorothiazid [Dyazide],23742,Dyazide,,term-join,B5-brand,,,,not-needed,
021721,Semprex-D,219857,Semprex-D,,term-join,Q1-exact,,,,not-needed,
021723,Benazepril-Hydrochlorothiazide,214287,benazepril / hydrochlorothiazide,,code-search,,214287,benazepril / hydrochlorothiazide,0.95,ok,FSN matches the combination product exactly
021724,Lotensin HCT,218089,Lotensin HCT,,term-join,Q1-exact,,,,not-needed,
021725,benazepril-hydrochlorothiazide,214287,benazepril / hydrochlorothiazide,,code-search,,214287,benazepril / hydrochlorothiazide,0.95,ok,FSN matches the combination product exactly
021726,Lotensin HCT,218089,Lotensin HCT,,term-join,Q1-exact,,,,not-needed,
021727,Rocuronium *NF*,32521,rocuronium bromide,,code-search,,32521,rocuronium bromide,0.85,ok,Rocuronium drug substance; NF qualifier not separately coded
021729,phenylephrine HCl [Hemorrhoidal Suppository],8164,phenylephrine hydrochloride,,term-join,B2-generic-salt,,,,not-needed,
021731,Salagen,202959,Salagen,,term-join,Q1-exact,,,,not-needed,
021732,famotidine (PF)-NaCl  (iso-os),,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
021733,"pen needle, diabetic",,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
021734,undecylenic acid [Fungi-Nail],10989,undecylenic acid,,term-join,B1-generic,,,,not-needed,
021735,clarithromycin,21212,clarithromycin,,term-join,Q1-exact,,,,not-needed,
021737,Lubriderm Sensitive Skin,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
021739,Pancrease MT 20,,,"code-search proposed 204305 'Pancrease' at 0.80, below the 0.85 threshold.",code-search,,204305,Pancrease,0.80,below-threshold,Brand name of pancreatic enzyme product; MT 20 is strength
021742,Edex,153020,Edex,,term-join,Q1-exact,,,,not-needed,
021743,Plendil,203016,Plendil,,term-join,Q1-exact,,,,not-needed,
021754,sennosides [Perdiem Overnight Relief],405262,Perdiem Overnight,,code-search,,405262,Perdiem Overnight,0.85,ok,Brand product matches input brand name
021776,mesalamine [Canasa],52582,mesalamine,,term-join,B1-generic,,,,not-needed,
021793,cimetidine,2541,cimetidine,,term-join,Q1-exact,,,,not-needed,
021795,tacrolimus [Prograf],42316,tacrolimus,,term-join,B1-generic,,,,not-needed,
021796,tacrolimus [Prograf],42316,tacrolimus,,term-join,B1-generic,,,,not-needed,
021797,tacrolimus [Prograf],42316,tacrolimus,,term-join,B1-generic,,,,not-needed,
021839,Glucotrol XL,,,"code-search proposed 4821 'glipizide' at 0.80, below the 0.85 threshold.",code-search,,4821,glipizide,0.80,below-threshold,Glucotrol XL is brand for glipizide; ingredient match in RxNorm VS
021840,Glucotrol XL,,,"code-search proposed 4821 'glipizide' at 0.80, below the 0.85 threshold.",code-search,,4821,glipizide,0.80,below-threshold,Glucotrol XL is brand for glipizide; ingredient match in RxNorm VS
021852,PREVACID,83156,Prevacid,,term-join,Q1-exact,,,,not-needed,
021870,cefaclor,2176,cefaclor,,term-join,Q1-exact,,,,not-needed,
021871,Monurol,284785,Monurol,,term-join,Q1-exact,,,,not-needed,
021876,Famvir,151733,Famvir,,term-join,Q1-exact,,,,not-needed,
021892,Prunus Spinosa,,,"code-search proposed 1442995 'Prunus spinosa whole extract' at 0.80, below the 0.85 threshold.",code-search,,1442995,Prunus spinosa whole extract,0.80,below-threshold,"Whole extract is broadest match for the plant, no part specified"
021896,triamcinolone (bulk),10759,triamcinolone,,term-join,Q3-paren,,,,not-needed,
021899,Inhalational Spacing Device,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
021900,Space Chamber,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
021901,inhalational spacing device,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
021902,multivitamin with iron-mineral,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
021904,Clobetasol,2590,clobetasol,,term-join,Q1-exact,,,,not-needed,
021905,imiglucerase [Cerezyme],84959,imiglucerase,,term-join,B1-generic,,,,not-needed,
021909,quinapril [Accupril],35208,quinapril,,term-join,B1-generic,,,,not-needed,
021934,lamotrigine [Lamictal],28439,lamotrigine,,term-join,B1-generic,,,,not-needed,
021935,Lamotrigine,28439,lamotrigine,,term-join,Q1-exact,,,,not-needed,
021940,menthol,6750,menthol,,term-join,Q1-exact,,,,not-needed,
021961,L-Citrulline,2567,citrulline,,code-search,,2567,citrulline,0.85,ok,L-Citrulline is the L-isomer; base citrulline matches
021980,naproxen sodium [All Day Relief],142442,naproxen sodium,,term-join,B1-generic,,,,not-needed,
021982,Zerit,203748,Zerit,,term-join,Q1-exact,,,,not-needed,
021983,Stavudine,59763,stavudine,,term-join,Q1-exact,,,,not-needed,
021984,Zerit,203748,Zerit,,term-join,Q1-exact,,,,not-needed,
021985,Zerit,203748,Zerit,,term-join,Q1-exact,,,,not-needed,
021986,clobetasol-emollient [Temovate E],1992281,clobetasol propionate 0.05 % Emollient Base Topical Cream,,code-search,,1992281,clobetasol propionate 0.05 % Emollient Base Topical Cream,0.90,ok,Temovate E is clobetasol propionate emollient cream
021995,Famvir,151733,Famvir,,term-join,Q1-exact,,,,not-needed,
021996,pantothenic acid,7891,pantothenic acid,,term-join,Q1-exact,,,,not-needed,
021999,Biotin,1588,biotin,,term-join,Q1-exact,,,,not-needed,
022008,Magnesium,6574,magnesium,,term-join,Q1-exact,,,,not-needed,
022059,Secura Protective,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022061,pramoxine-calamine [Caladryl],215811,Caladryl,,term-join,B5-brand,,,,not-needed,
022072,menthol [Aspercreme Heat],6750,menthol,,term-join,B1-generic,,,,not-needed,
022123,Tylenol Arthritis Pain,,,"code-search proposed 161 'acetaminophen' at 0.60, below the 0.85 threshold.",code-search,,161,acetaminophen,0.60,below-threshold,Brand product; active ingredient acetaminophen in IN/PIN/MIN VS
022126,Remedy Nutrashield Skin Protec,,,"code-search proposed 1361688 'Neutraphorus Rex Skin Protectant' at 0.70, below the 0.85 threshold.",code-search,,1361688,Neutraphorus Rex Skin Protectant,0.70,below-threshold,Brand-name skin protectant product matching input
022127,Glucosamine Sulfate,4847,glucosamine sulfate,,term-join,Q1-exact,,,,not-needed,
022132,vitamin A palmitate,35406,vitamin A palmitate,,term-join,Q1-exact,,,,not-needed,
022138,Ginseng Concentrate,,,"code-search proposed 325526 'ginseng preparation' at 0.75, below the 0.85 threshold.",code-search,,325526,ginseng preparation,0.75,below-threshold,No exact 'concentrate'; broadest ginseng preparation matches
022139,Stimate,405336,Stimate,,term-join,Q1-exact,,,,not-needed,
022140,clindamycin phosphate [Clindacin P],797272,clindamycin phosphate,,term-join,B1-generic,,,,not-needed,
022141,fluconazole [Diflucan],4450,fluconazole,,term-join,B1-generic,,,,not-needed,
022145,miconazole nitrate [Critic-Aid Clear AF],42790,miconazole nitrate,,term-join,B1-generic,,,,not-needed,
022146,pamabrom [Diurex Max],54365,pamabrom,,term-join,B1-generic,,,,not-needed,
022153,mucus clearing device [Flutter],,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022154,calcium acetate,214342,calcium acetate,,term-join,Q1-exact,,,,not-needed,
022158,acetaminophen,161,acetaminophen,,term-join,Q1-exact,,,,not-needed,
022159,Aspirin,1191,aspirin,,term-join,Q1-exact,,,,not-needed,
022204,ParaGard T 380A,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022210,Tussin Mucus-Chest Congestion,5032,guaifenesin,,code-search,,5032,guaifenesin,0.85,ok,Tussin Mucus-Chest Congestion is a guaifenesin product
022213,albuterol sulfate,142153,albuterol sulfate,,term-join,Q1-exact,,,,not-needed,
022229,insulin syringes (reusable),,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022230,pirbuterol [Maxair Autohaler],33767,pirbuterol,,term-join,B1-generic,,,,not-needed,
022232,budesonide,19831,budesonide,,term-join,Q1-exact,,,,not-needed,
022233,Coreg,216221,Coreg,,term-join,Q1-exact,,,,not-needed,
022258,Vitamin E Acetate-Selenium,2531274,vitamin E acetate,,code-search,,2531274,vitamin E acetate,0.85,ok,Primary component of the combination
022270,PRILOSEC,203345,Prilosec,,term-join,Q1-exact,,,,not-needed,
022341,quinacrine (bulk),9061,quinacrine,,term-join,Q3-paren,,,,not-needed,
022342,flurandrenolide,4500,flurandrenolide,,term-join,Q1-exact,,,,not-needed,
022344,"colestipol,micronized [Colestid]",151533,Colestid,,term-join,B5-brand,,,,not-needed,
022345,potassium chloride [Klor-Con M10],8591,potassium chloride,,term-join,B1-generic,,,,not-needed,
022346,potassium chloride [Klor-Con M20],8591,potassium chloride,,term-join,B1-generic,,,,not-needed,
022358,fentanyl citrate [Actiq],142436,fentanyl citrate,,term-join,B1-generic,,,,not-needed,
022371,diaphragm arc-spring,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022393,Undergarment Extra Absorbent,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022395,Diapers,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022398,underpads [Underpads Regular],,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022400,underpads [Underpads Extra Large],,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022403,Kotex Fresh & Dry,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022404,"dressing holder, net [Elastic Stretch Net]",,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022411,urinary bag accessories [Leg Bag Straps],,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022414,"catheter accessories, external",,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022416,Nature's Tears,966754,Nature's Tears,,term-join,Q1-exact,,,,not-needed,
022423,Back Brace,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022472,Estring,151720,Estring,,term-join,Q1-exact,,,,not-needed,
022479,sumatriptan succinate [Imitrex],67158,sumatriptan succinate,,term-join,B1-generic,,,,not-needed,
022480,Nicotrol NS,1797886,nicotine 0.5 MG/ACTUAT Metered Dose Nasal Spray,,code-search,,1797886,nicotine 0.5 MG/ACTUAT Metered Dose Nasal Spray,0.85,ok,Nicotrol NS is nicotine nasal spray; matches product
022483,Calcipotriene,29365,calcipotriene,,term-join,Q1-exact,,,,not-needed,
022499,transparent dressings [Tegaderm],,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022504,ICaps,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022508,hydrocolloid dressing [DuoDERM Hydroactive],,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
022512,levocarnitine,42955,levocarnitine,,term-join,Q1-exact,,,,not-needed,
022518,ketorolac,35827,ketorolac,,term-join,Q1-exact,,,,not-needed,
022520,chlorhexidine gluconate (bulk),20791,chlorhexidine gluconate,,term-join,Q3-paren,,,,not-needed,
022528,Motrin,202488,Motrin,,term-join,Q1-exact,,,,not-needed,
022529,Motrin,202488,Motrin,,term-join,Q1-exact,,,,not-needed,
022530,ibuprofen [Ibuprofen IB],5640,ibuprofen,,term-join,B1-generic,,,,not-needed,
022531,pamidronate,11473,pamidronate,,term-join,Q1-exact,,,,not-needed,
022532,pamidronate,11473,pamidronate,,term-join,Q1-exact,,,,not-needed,
022533,vit E-glycerin-dimethicone [Cetaphil Moisturizing],,,"code-search proposed 1007082 'dimethicone / glycerin' at 0.70, below the 0.85 threshold.",code-search,,1007082,dimethicone / glycerin,0.70,below-threshold,Closest combination product; lacks vitamin E component
