mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
Dakins 1/4 Strength,Dakins 1/4 Strength,http://www.nlm.nih.gov/research/umls/rxnorm,644133,sodium hypochlorite 0.125 % Topical Solution,,code-search,,644133,sodium hypochlorite 0.125 % Topical Solution,0.85,ok,Dakin's quarter strength = 0.125% sodium hypochlorite
Daklinza,Daklinza,http://www.nlm.nih.gov/research/umls/rxnorm,1660186,Daklinza,,term-join,Q1-exact,,,,not-needed,
Daliresp,Daliresp,http://www.nlm.nih.gov/research/umls/rxnorm,1091840,Daliresp,,term-join,Q1-exact,,,,not-needed,
Dalteparin,Dalteparin,http://www.nlm.nih.gov/research/umls/rxnorm,67109,dalteparin,,term-join,Q1-exact,,,,not-needed,
Dalvance,Dalvance,http://www.nlm.nih.gov/research/umls/rxnorm,1539244,Dalvance,,term-join,Q1-exact,,,,not-needed,
Danazol,Danazol,http://www.nlm.nih.gov/research/umls/rxnorm,3102,danazol,,term-join,Q1-exact,,,,not-needed,
Dantrolene,Dantrolene,http://www.nlm.nih.gov/research/umls/rxnorm,3105,dantrolene,,term-join,Q1-exact,,,,not-needed,
Dantrolene Sodium,Dantrolene Sodium,http://www.nlm.nih.gov/research/umls/rxnorm,3106,dantrolene sodium,,term-join,Q1-exact,,,,not-needed,
Dapsone,Dapsone,http://www.nlm.nih.gov/research/umls/rxnorm,3108,dapsone,,term-join,Q1-exact,,,,not-needed,
Daptomycin,Daptomycin,http://www.nlm.nih.gov/research/umls/rxnorm,22299,daptomycin,,term-join,Q1-exact,,,,not-needed,
Daptomycin Desensitization,Daptomycin Desensitization,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Daptomycin-Heparin Lock,Daptomycin-Heparin Lock,http://snomed.info/sct,406439009,Daptomycin,,code-search,,406439009,Daptomycin,0.85,ok,Primary substance in the lock solution
Daraprim,Daraprim,http://www.nlm.nih.gov/research/umls/rxnorm,151583,Daraprim,,term-join,Q1-exact,,,,not-needed,
Daratumumab,Daratumumab,http://www.nlm.nih.gov/research/umls/rxnorm,1721947,daratumumab,,term-join,Q1-exact,,,,not-needed,
Darunavir,Darunavir,http://www.nlm.nih.gov/research/umls/rxnorm,460132,darunavir,,term-join,Q1-exact,,,,not-needed,
Dasetta 1/35 (28),Dasetta 1/35 (28),http://www.nlm.nih.gov/research/umls/rxnorm,1300538,DASETTA 1/35 28 Day Pack,,code-search,,1300538,DASETTA 1/35 28 Day Pack,0.97,ok,FSN matches input exactly
Daysee,Daysee,http://www.nlm.nih.gov/research/umls/rxnorm,1423123,Daysee 91 Day Pack,,code-search,,1423123,Daysee 91 Day Pack,0.85,ok,Brand name matches input exactly
Decitabine,Decitabine,http://www.nlm.nih.gov/research/umls/rxnorm,15657,decitabine,,term-join,Q1-exact,,,,not-needed,
Decitabine*,Decitabine*,http://www.nlm.nih.gov/research/umls/rxnorm,15657,decitabine,,term-join,Q1-exact,,,,not-needed,
Deferoxamine (DFO) Study Drug,Deferoxamine (DFO) Study Drug,http://www.nlm.nih.gov/research/umls/rxnorm,3131,deferoxamine,,code-search,,3131,deferoxamine,0.85,ok,FSN matches deferoxamine; study drug qualifier non-coded
Deferoxamine Mesylate,Deferoxamine Mesylate,http://www.nlm.nih.gov/research/umls/rxnorm,3132,deferoxamine mesylate,,term-join,Q1-exact,,,,not-needed,
Demerol,Demerol,http://www.nlm.nih.gov/research/umls/rxnorm,282381,Demerol,,term-join,Q1-exact,,,,not-needed,
Denosumab (Prolia),Denosumab (Prolia),http://www.nlm.nih.gov/research/umls/rxnorm,993449,denosumab,,term-join,Q3-paren,,,,not-needed,
Denosumab (Xgeva),Denosumab (Xgeva),http://www.nlm.nih.gov/research/umls/rxnorm,993449,denosumab,,term-join,Q3-paren,,,,not-needed,
Depakene,Depakene,http://www.nlm.nih.gov/research/umls/rxnorm,203245,Depakene,,term-join,Q1-exact,,,,not-needed,
Depakote,Depakote,http://www.nlm.nih.gov/research/umls/rxnorm,216459,Depakote,,term-join,Q1-exact,,,,not-needed,
Depakote Sprinkles,Depakote Sprinkles,http://www.nlm.nih.gov/research/umls/rxnorm,266856,divalproex sodium,,code-search,,266856,divalproex sodium,0.85,ok,Depakote Sprinkles is brand for divalproex sodium sprinkle capsules
Deplin,Deplin,http://www.nlm.nih.gov/research/umls/rxnorm,1592257,levomefolate,,code-search,,1592257,levomefolate,0.85,ok,Deplin is brand name for L-methylfolate (levomefolate)
Dermoplast Spray,Dermoplast Spray,http://www.nlm.nih.gov/research/umls/rxnorm,216489,Dermoplast,,code-search,,216489,Dermoplast,0.85,ok,Brand Dermoplast is a topical spray; matches input
Descovy,Descovy,http://www.nlm.nih.gov/research/umls/rxnorm,1747692,Descovy,,term-join,Q1-exact,,,,not-needed,
Desipramine,Desipramine,http://www.nlm.nih.gov/research/umls/rxnorm,3247,desipramine,,term-join,Q1-exact,,,,not-needed,
Desitin,Desitin,http://www.nlm.nih.gov/research/umls/rxnorm,216498,Desitin,,term-join,Q1-exact,,,,not-needed,
Desmopressin Acetate,Desmopressin Acetate,http://www.nlm.nih.gov/research/umls/rxnorm,42634,desmopressin acetate,,term-join,Q1-exact,,,,not-needed,
Desmopressin Nasal,Desmopressin Nasal,http://www.nlm.nih.gov/research/umls/rxnorm,3251,desmopressin,,code-search,,3251,desmopressin,0.85,ok,Ingredient desmopressin; 'Nasal' is route qualifier not part of ingredient
Desogen,Desogen,http://www.nlm.nih.gov/research/umls/rxnorm,203221,Desogen (contraceptive),,code-search,,203221,Desogen,0.95,ok,Brand name matches input exactly
Desonide 0.05% Cream,Desonide 0.05% Cream,http://www.nlm.nih.gov/research/umls/rxnorm,349351,desonide 0.05 % Topical Cream,,code-search,,349351,desonide 0.05 % Topical Cream,0.97,ok,FSN matches input exactly
Desoxyn,Desoxyn,http://www.nlm.nih.gov/research/umls/rxnorm,224965,Desoxyn,,term-join,Q1-exact,,,,not-needed,
Dexamethasone,Dexamethasone,http://www.nlm.nih.gov/research/umls/rxnorm,3264,dexamethasone,,term-join,Q1-exact,,,,not-needed,
Dexamethasone Ophthalmic Soln 0.1%,Dexamethasone Ophthalmic Soln 0.1%,http://www.nlm.nih.gov/research/umls/rxnorm,226343,dexAMETHasone sodium phosphate 0.1 % Ophthalmic Solution,,code-search,,226343,dexAMETHasone sodium phosphate 0.1 % Ophthalmic Solution,0.90,ok,Ophthalmic Solution 0.1% matches 'Soln 0.1%' exactly
Dexamethasone Ophthalmic Susp 0.1%,Dexamethasone Ophthalmic Susp 0.1%,http://www.nlm.nih.gov/research/umls/rxnorm,309692,dexAMETHasone 0.1 % Ophthalmic Suspension,,code-search,,309692,dexAMETHasone 0.1 % Ophthalmic Suspension,0.98,ok,FSN matches input exactly
Dexamethasone Oral Soln (0.1mg/1mL),Dexamethasone Oral Soln (0.1mg/1mL),http://www.nlm.nih.gov/research/umls/rxnorm,309686,dexAMETHasone 0.5 MG in 5 mL Oral Solution,,code-search,,309686,dexAMETHasone 0.5 MG in 5 mL Oral Solution,0.95,ok,"0.5mg/5mL equals 0.1mg/mL, matching concentration and form"
Dexedrine Spansule,Dexedrine Spansule,http://www.nlm.nih.gov/research/umls/rxnorm,151612,Dexedrine,,code-search,,151612,Dexedrine,0.85,ok,Brand name matches input; Spansule is the extended-release form
Dexilant,Dexilant,http://www.nlm.nih.gov/research/umls/rxnorm,902621,Dexilant,,term-join,Q1-exact,,,,not-needed,
Dexmedetomidine,Dexmedetomidine,http://www.nlm.nih.gov/research/umls/rxnorm,48937,dexmedetomidine,,term-join,Q1-exact,,,,not-needed,
Dexmedetomidine Study Drug,Dexmedetomidine Study Drug,http://www.nlm.nih.gov/research/umls/rxnorm,48937,dexmedetomidine,,code-search,,48937,dexmedetomidine,0.85,ok,FSN matches the drug; 'study drug' is a non-coded qualifier
Dexrazoxane,Dexrazoxane,http://www.nlm.nih.gov/research/umls/rxnorm,42736,dexrazoxane,,term-join,Q1-exact,,,,not-needed,
Dextran 40 in D5W,Dextran 40 in D5W,http://snomed.info/sct,66322002,Dextran 40,,code-search,,66322002,Dextran 40,0.90,ok,Substance VS; Dextran 40 substance matches input
Dextran 40 in NaCl,Dextran 40 in NaCl,,,,"code-search proposed 66322002 'Dextran 40' at 0.75, below the 0.85 threshold.",code-search,,66322002,Dextran 40,0.75,below-threshold,Primary ingredient; no combination code for Dextran 40 in NaCl available
Dextroamphetamine,Dextroamphetamine,http://www.nlm.nih.gov/research/umls/rxnorm,3288,dextroamphetamine,,term-join,Q1-exact,,,,not-needed,
Dextromethorphan Polistirex,Dextromethorphan Polistirex,http://www.nlm.nih.gov/research/umls/rxnorm,236146,dextromethorphan polistirex,,term-join,Q1-exact,,,,not-needed,
Dextromethorphan Poly Complex,Dextromethorphan Poly Complex,http://www.nlm.nih.gov/research/umls/rxnorm,236146,dextromethorphan polistirex,,code-search,,236146,dextromethorphan polistirex,0.85,ok,'Poly complex' refers to polistirex complex; FSN matches
Dextromethorphan-Guaifenesin (Sugar Free),Dextromethorphan-Guaifenesin (Sugar Free),http://www.nlm.nih.gov/research/umls/rxnorm,214488,dextromethorphan / guaifenesin,,code-search,,214488,dextromethorphan / guaifenesin,0.90,ok,FSN matches the two-ingredient combination; sugar-free is a qualifier
Dextrose 50%,Dextrose 50%,http://www.nlm.nih.gov/research/umls/rxnorm,237653,dextrose 50 % Injectable Solution,,code-search,,237653,dextrose 50 % Injectable Solution,0.95,ok,FSN matches input exactly
DiCLOXacillin,DiCLOXacillin,http://www.nlm.nih.gov/research/umls/rxnorm,3356,dicloxacillin,,term-join,Q1-exact,,,,not-needed,
DiCYCLOmine,DiCYCLOmine,http://www.nlm.nih.gov/research/umls/rxnorm,3361,dicyclomine,,term-join,Q1-exact,,,,not-needed,
DiaResQ,DiaResQ,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Diazepam,Diazepam,http://www.nlm.nih.gov/research/umls/rxnorm,3322,diazepam,,term-join,Q1-exact,,,,not-needed,
Diazepam - CIWA protocol,Diazepam - CIWA protocol,http://www.nlm.nih.gov/research/umls/rxnorm,3322,diazepam,,code-search,,3322,diazepam,0.85,ok,Diazepam is the medication; CIWA protocol is context
Diclegis,Diclegis,http://www.nlm.nih.gov/research/umls/rxnorm,1375949,Diclegis,,term-join,Q1-exact,,,,not-needed,
Diclofenac Sodium DR,Diclofenac Sodium DR,http://www.nlm.nih.gov/research/umls/rxnorm,203214,diclofenac sodium,,code-search,,203214,diclofenac sodium,0.85,ok,Base concept matches; DR (delayed release) qualifier not represented in candidates
Digoxin,Digoxin,http://www.nlm.nih.gov/research/umls/rxnorm,3407,digoxin,,term-join,Q1-exact,,,,not-needed,
Digoxin Immune Fab,Digoxin Immune Fab,http://www.nlm.nih.gov/research/umls/rxnorm,1745257,ovine digoxin immune fab,,code-search,,1745257,ovine digoxin immune fab,0.95,ok,FSN matches the drug ingredient exactly
Dihydroergotamine Mesylate,Dihydroergotamine Mesylate,http://www.nlm.nih.gov/research/umls/rxnorm,203176,dihydroergotamine mesylate,,term-join,Q1-exact,,,,not-needed,
Dilantin,Dilantin,http://www.nlm.nih.gov/research/umls/rxnorm,202740,Dilantin,,term-join,Q1-exact,,,,not-needed,
Dilantin Extended,Dilantin Extended,http://snomed.info/sct,387220006,Phenytoin,,code-search,,387220006,Phenytoin,0.85,ok,Dilantin Extended is brand of extended-release phenytoin; substance is phenytoin
Dilantin Infatabs,Dilantin Infatabs,http://www.nlm.nih.gov/research/umls/rxnorm,8183,phenytoin,,code-search,,8183,phenytoin,0.85,ok,Dilantin Infatabs is a brand of phenytoin; clear clinical referent
Dilaudid,Dilaudid,http://www.nlm.nih.gov/research/umls/rxnorm,224913,Dilaudid,,term-join,Q1-exact,,,,not-needed,
Dilaudid (PF),Dilaudid (PF),http://www.nlm.nih.gov/research/umls/rxnorm,224913,Dilaudid,,term-join,Q3-paren,,,,not-needed,
Diltiazem,Diltiazem,http://www.nlm.nih.gov/research/umls/rxnorm,3443,diltiazem,,term-join,Q1-exact,,,,not-needed,
Diltiazem Extended-Release,Diltiazem Extended-Release,http://www.nlm.nih.gov/research/umls/rxnorm,3443,diltiazem,,code-search,,3443,diltiazem,0.85,ok,Ingredient diltiazem; extended-release is dose-form qualifier not in ingredient codes
DimenhyDRINATE,DimenhyDRINATE,http://www.nlm.nih.gov/research/umls/rxnorm,3444,dimenhydrinate,,term-join,Q1-exact,,,,not-needed,
Diovan,Diovan,http://www.nlm.nih.gov/research/umls/rxnorm,216652,Diovan,,term-join,Q1-exact,,,,not-needed,
Diovan HCT,Diovan HCT,http://www.nlm.nih.gov/research/umls/rxnorm,216653,Diovan HCT,,term-join,Q1-exact,,,,not-needed,
Dipentum,Dipentum,http://www.nlm.nih.gov/research/umls/rxnorm,49131,Dipentum,,term-join,Q1-exact,,,,not-needed,
DiphenhydrAMINE,DiphenhydrAMINE,http://www.nlm.nih.gov/research/umls/rxnorm,3498,diphenhydramine,,term-join,Q1-exact,,,,not-needed,
Diphenoxylate-Atropine,Diphenoxylate-Atropine,http://www.nlm.nih.gov/research/umls/rxnorm,594040,atropine / diphenoxylate,,code-search,,594040,atropine / diphenoxylate,0.95,ok,FSN matches the combination product exactly
Dipyridamole,Dipyridamole,http://www.nlm.nih.gov/research/umls/rxnorm,3521,dipyridamole,,term-join,Q1-exact,,,,not-needed,
Dipyridamole-Aspirin,Dipyridamole-Aspirin,http://www.nlm.nih.gov/research/umls/rxnorm,226716,aspirin / dipyridamole,,code-search,,226716,aspirin / dipyridamole,0.90,ok,Generic combination matches input; specific strengths overstep
Disopyramide CR,Disopyramide CR,http://www.nlm.nih.gov/research/umls/rxnorm,3541,disopyramide,,code-search,,3541,disopyramide,0.85,ok,CR is a release qualifier; base drug disopyramide matches
Disopyramide Phosphate,Disopyramide Phosphate,http://www.nlm.nih.gov/research/umls/rxnorm,203178,disopyramide phosphate,,term-join,Q1-exact,,,,not-needed,
Disulfiram,Disulfiram,http://www.nlm.nih.gov/research/umls/rxnorm,3554,disulfiram,,term-join,Q1-exact,,,,not-needed,
Divalproex (DELayed Release),Divalproex (DELayed Release),http://www.nlm.nih.gov/research/umls/rxnorm,266856,divalproex sodium,,code-search,,266856,divalproex sodium,0.85,ok,Base drug concept; release qualifier not a separate coded form
Divalproex (EXTended Release),Divalproex (EXTended Release),http://www.nlm.nih.gov/research/umls/rxnorm,266856,divalproex sodium,,code-search,,266856,divalproex sodium,0.85,ok,Divalproex is divalproex sodium; extended-release qualifier not separately coded
Divalproex Sod. Sprinkles,Divalproex Sod. Sprinkles,http://www.nlm.nih.gov/research/umls/rxnorm,266856,divalproex sodium,,code-search,,266856,divalproex sodium,0.85,ok,Input is divalproex sodium sprinkle; base concept matches without unstated strength
Divigel,Divigel,http://www.nlm.nih.gov/research/umls/rxnorm,722259,Divigel,,term-join,Q1-exact,,,,not-needed,
Dnatrolene,Dnatrolene,http://www.nlm.nih.gov/research/umls/rxnorm,3105,dantrolene,,code-search,,3105,dantrolene,0.90,ok,Misspelling of dantrolene; base ingredient matches
Docusate Sodium,Docusate Sodium,http://www.nlm.nih.gov/research/umls/rxnorm,71722,docusate sodium,,term-join,Q1-exact,,,,not-needed,
Docusate Sodium (Liquid),Docusate Sodium (Liquid),http://www.nlm.nih.gov/research/umls/rxnorm,71722,docusate sodium,,term-join,Q3-paren,,,,not-needed,
Dofetilide,Dofetilide,http://www.nlm.nih.gov/research/umls/rxnorm,49247,dofetilide,,term-join,Q1-exact,,,,not-needed,
Dolutegravir,Dolutegravir,http://www.nlm.nih.gov/research/umls/rxnorm,1433868,dolutegravir,,term-join,Q1-exact,,,,not-needed,
Domeboro,Domeboro,http://www.nlm.nih.gov/research/umls/rxnorm,1293264,Domeboro,,term-join,Q1-exact,,,,not-needed,
Domperidone,Domperidone,http://www.nlm.nih.gov/research/umls/rxnorm,3626,domperidone,,term-join,Q1-exact,,,,not-needed,
Domperidone 10mg,Domperidone 10mg,http://www.nlm.nih.gov/research/umls/rxnorm,3626,domperidone,,code-search,,3626,domperidone,0.85,ok,Ingredient domperidone; 10mg strength not coded in ingredient VS
Donepezil,Donepezil,http://www.nlm.nih.gov/research/umls/rxnorm,135447,donepezil,,term-join,Q1-exact,,,,not-needed,
Donnatal,Donnatal,http://www.nlm.nih.gov/research/umls/rxnorm,115141,Donnatal,,term-join,Q1-exact,,,,not-needed,
Donnatol,Donnatol,http://www.nlm.nih.gov/research/umls/rxnorm,689606,atropine / hyoscyamine / phenobarbital / scopolamine,,code-search,,689606,atropine / hyoscyamine / phenobarbital / scopolamine,0.85,ok,Donnatol is misspelling of Donnatal brand; matches this combination
Dornase Alfa,Dornase Alfa,http://www.nlm.nih.gov/research/umls/rxnorm,337623,dornase alfa,,term-join,Q1-exact,,,,not-needed,
Dorzolamide 2% Ophth. Soln.,Dorzolamide 2% Ophth. Soln.,http://www.nlm.nih.gov/research/umls/rxnorm,310015,dorzolamide HCl 2 % Ophthalmic Solution,,code-search,,310015,dorzolamide HCl 2 % Ophthalmic Solution,0.95,ok,FSN matches input exactly
Dorzolamide 2%/Timolol 0.5% Ophth.,Dorzolamide 2%/Timolol 0.5% Ophth.,http://www.nlm.nih.gov/research/umls/rxnorm,1923432,dorzolamide HCl 2 % / timolol maleate 0.5 % Ophthalmic Solution,,code-search,,1923432,dorzolamide HCl 2 % / timolol maleate 0.5 % Ophthalmic Solution,0.85,ok,Matches dorzolamide/timolol ophthalmic solution; salts unstated but standard
Doxazosin,Doxazosin,http://www.nlm.nih.gov/research/umls/rxnorm,49276,doxazosin,,term-join,Q1-exact,,,,not-needed,
Doxepin HCl,Doxepin HCl,http://www.nlm.nih.gov/research/umls/rxnorm,203179,doxepin hydrochloride,,term-join,Q2-salt,,,,not-needed,
Doxercalciferol,Doxercalciferol,http://www.nlm.nih.gov/research/umls/rxnorm,11516,doxercalciferol,,term-join,Q1-exact,,,,not-needed,
Doxycycline Hyclate,Doxycycline Hyclate,http://www.nlm.nih.gov/research/umls/rxnorm,23663,doxycycline hyclate,,term-join,Q1-exact,,,,not-needed,
Doxycycline Hyclate W/ Lidocaine 1%,Doxycycline Hyclate W/ Lidocaine 1%,http://www.nlm.nih.gov/research/umls/rxnorm,23663,doxycycline hyclate,,code-search,,23663,doxycycline hyclate,0.85,ok,Primary ingredient; no combined product exists
Dronabinol,Dronabinol,http://www.nlm.nih.gov/research/umls/rxnorm,10402,dronabinol,,term-join,Q1-exact,,,,not-needed,
Dronedarone,Dronedarone,http://www.nlm.nih.gov/research/umls/rxnorm,233698,dronedarone,,term-join,Q1-exact,,,,not-needed,
Dulcolax (bisacodyl),Dulcolax (bisacodyl),http://www.nlm.nih.gov/research/umls/rxnorm,151672,Dulcolax,,term-join,Q3-paren,,,,not-needed,
Dulera,Dulera,http://www.nlm.nih.gov/research/umls/rxnorm,1372704,Dulera,,term-join,Q1-exact,,,,not-needed,
Duloxetine,Duloxetine,http://www.nlm.nih.gov/research/umls/rxnorm,72625,duloxetine,,term-join,Q1-exact,,,,not-needed,
Duopa,Duopa,http://www.nlm.nih.gov/research/umls/rxnorm,1599847,Duopa,,term-join,Q1-exact,,,,not-needed,
Dupixent,Dupixent,http://www.nlm.nih.gov/research/umls/rxnorm,1876402,Dupixent,,term-join,Q1-exact,,,,not-needed,
DurezoL,DurezoL,http://www.nlm.nih.gov/research/umls/rxnorm,802597,Durezol,,term-join,Q1-exact,,,,not-needed,
Durezol,Durezol,http://www.nlm.nih.gov/research/umls/rxnorm,802597,Durezol,,term-join,Q1-exact,,,,not-needed,
Dutoprol,Dutoprol,http://www.nlm.nih.gov/research/umls/rxnorm,1372709,Dutoprol,,term-join,Q1-exact,,,,not-needed,
Dymista,Dymista,http://www.nlm.nih.gov/research/umls/rxnorm,1291861,Dymista,,term-join,Q1-exact,,,,not-needed,
ENTAcapone,ENTAcapone,http://www.nlm.nih.gov/research/umls/rxnorm,60307,entacapone,,term-join,Q1-exact,,,,not-needed,
EPINEPHrine,EPINEPHrine,http://www.nlm.nih.gov/research/umls/rxnorm,3992,epinephrine,,term-join,Q1-exact,,,,not-needed,
EPINEPHrine (EpiPEN),EPINEPHrine (EpiPEN),http://www.nlm.nih.gov/research/umls/rxnorm,3992,epinephrine,,term-join,Q3-paren,,,,not-needed,
EPINEPHrine 1:1000,EPINEPHrine 1:1000,http://www.nlm.nih.gov/research/umls/rxnorm,310132,EPINEPHrine 1 MG/ML (1:1000) Injectable Solution,,code-search,,310132,EPINEPHrine 1 MG/ML (1:1000) Injectable Solution,0.85,ok,Canonical epinephrine 1:1000 injectable; route unstated but standard referent
ERYTHROMYCIN,ERYTHROMYCIN,http://www.nlm.nih.gov/research/umls/rxnorm,4053,erythromycin,,term-join,Q1-exact,,,,not-needed,
Eculizumab,Eculizumab,http://www.nlm.nih.gov/research/umls/rxnorm,591781,eculizumab,,term-join,Q1-exact,,,,not-needed,
Edarbi,Edarbi,http://www.nlm.nih.gov/research/umls/rxnorm,1091647,Edarbi,,term-join,Q1-exact,,,,not-needed,
Edoxaban,Edoxaban,http://www.nlm.nih.gov/research/umls/rxnorm,1599538,edoxaban,,term-join,Q1-exact,,,,not-needed,
Edoxiban,Edoxiban,,,,"code-search proposed 712778008 'Edoxaban' at 0.65, below the 0.85 threshold.",code-search,,712778008,Edoxaban,0.65,below-threshold,
Edurant,Edurant,http://www.nlm.nih.gov/research/umls/rxnorm,1102274,Edurant,,term-join,Q1-exact,,,,not-needed,
Efavirenz,Efavirenz,http://www.nlm.nih.gov/research/umls/rxnorm,195085,efavirenz,,term-join,Q1-exact,,,,not-needed,
Effexor XR,Effexor XR,http://snomed.info/sct,372490001,Venlafaxine,,code-search,,372490001,Venlafaxine,0.85,ok,Effexor XR is brand name for venlafaxine
Elidel,Elidel,http://www.nlm.nih.gov/research/umls/rxnorm,306865,Elidel,,term-join,Q1-exact,,,,not-needed,
Elmiron,Elmiron,http://www.nlm.nih.gov/research/umls/rxnorm,155043,Elmiron,,term-join,Q1-exact,,,,not-needed,
Elotuzumab,Elotuzumab,http://www.nlm.nih.gov/research/umls/rxnorm,1726104,elotuzumab,,term-join,Q1-exact,,,,not-needed,
Elvitegravir/Cobicistat/Emtricitabine/Tenofov,Elvitegravir/Cobicistat/Emtricitabine/Tenofov,http://snomed.info/sct,708828000,Elvitegravir,,code-search,,708828000,Elvitegravir,0.85,ok,Primary component of combination product
Emsam,Emsam,http://www.nlm.nih.gov/research/umls/rxnorm,617716,Emsam,,term-join,Q1-exact,,,,not-needed,
Emtricitabine,Emtricitabine,http://www.nlm.nih.gov/research/umls/rxnorm,276237,emtricitabine,,term-join,Q1-exact,,,,not-needed,
Emtricitabine Oral Solution,Emtricitabine Oral Solution,http://www.nlm.nih.gov/research/umls/rxnorm,597291,emtricitabine 10 MG in 1 mL Oral Solution,,code-search,,597291,emtricitabine 10 MG in 1 mL Oral Solution,0.85,ok,Only emtricitabine oral solution candidate; strength is unstated specifier
Emtricitabine-Tenofovir (Truvada),Emtricitabine-Tenofovir (Truvada),http://www.nlm.nih.gov/research/umls/rxnorm,1008145,emtricitabine / tenofovir disoproxil,,code-search,,1008145,emtricitabine / tenofovir disoproxil,0.90,ok,Truvada is emtricitabine/tenofovir disoproxil; alafenamide is Descovy
Emtricitabine-Tenofovir alafen (200mg-25mg) *DESCOVY*,Emtricitabine-Tenofovir alafen (200mg-25mg) *DESCOVY*,http://www.nlm.nih.gov/research/umls/rxnorm,1747691,emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Tablet,,code-search,,1747691,emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Tablet,0.97,ok,FSN matches exact drug and strength; DESCOVY is this brand
Emtricitabine-Tenofovir alafen (Descovy),Emtricitabine-Tenofovir alafen (Descovy),http://www.nlm.nih.gov/research/umls/rxnorm,1727491,emtricitabine / tenofovir alafenamide,,code-search,,1727491,emtricitabine / tenofovir alafenamide,0.95,ok,Descovy is emtricitabine/tenofovir alafenamide; exact match
Enablex,Enablex,http://www.nlm.nih.gov/research/umls/rxnorm,397392,Enablex,,term-join,Q1-exact,,,,not-needed,
Enalapril Maleate,Enalapril Maleate,http://www.nlm.nih.gov/research/umls/rxnorm,203123,enalapril maleate,,term-join,Q1-exact,,,,not-needed,
Enalapril/Placebo,Enalapril/Placebo,http://www.nlm.nih.gov/research/umls/rxnorm,3827,enalapril,,code-search,,3827,enalapril,0.85,ok,FSN matches enalapril exactly
Enalaprilat,Enalaprilat,http://www.nlm.nih.gov/research/umls/rxnorm,3829,enalaprilat,,term-join,Q1-exact,,,,not-needed,
Enasidenib,Enasidenib,http://www.nlm.nih.gov/research/umls/rxnorm,1940332,enasidenib,,term-join,Q1-exact,,,,not-needed,
Enbrel,Enbrel,http://www.nlm.nih.gov/research/umls/rxnorm,216891,Enbrel,,term-join,Q1-exact,,,,not-needed,
Endocet,Endocet,http://www.nlm.nih.gov/research/umls/rxnorm,216903,Endocet,,term-join,Q1-exact,,,,not-needed,
Endometrin,Endometrin,http://www.nlm.nih.gov/research/umls/rxnorm,725095,Endometrin,,term-join,Q1-exact,,,,not-needed,
Enema,Enema,http://snomed.info/sct,1382282001,Enema,,code-search,,1382282001,Enema (unit of presentation),0.85,ok,Substance-type match; procedures are type mismatch
Enema Bottle,Enema Bottle,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Enema Disposable,Enema Disposable,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Enemeez,Enemeez,http://www.nlm.nih.gov/research/umls/rxnorm,1192919,Enemeez,,term-join,Q1-exact,,,,not-needed,
Enoxaparin,Enoxaparin,http://www.nlm.nih.gov/research/umls/rxnorm,67108,enoxaparin,,term-join,Q1-exact,,,,not-needed,
Enoxaparin (Prophylaxis),Enoxaparin (Prophylaxis),http://www.nlm.nih.gov/research/umls/rxnorm,67108,enoxaparin,,term-join,Q3-paren,,,,not-needed,
Enoxaparin (Treatment),Enoxaparin (Treatment),http://www.nlm.nih.gov/research/umls/rxnorm,67108,enoxaparin,,term-join,Q3-paren,,,,not-needed,
Enoxaparin Sodium,Enoxaparin Sodium,http://www.nlm.nih.gov/research/umls/rxnorm,221095,enoxaparin sodium,,term-join,Q1-exact,,,,not-needed,
Enoxaprin,Enoxaprin,,,,"code-search proposed 372562003 'Enoxaparin' at 0.64, below the 0.85 threshold.",code-search,,372562003,Enoxaparin,0.64,below-threshold,
Enpresse,Enpresse,http://www.nlm.nih.gov/research/umls/rxnorm,761977,Enpresse 28 Day Triphasic Pack,,code-search,,761977,Enpresse 28 Day Triphasic Pack,0.85,ok,Brand name matches input exactly
Enskyce,Enskyce,http://www.nlm.nih.gov/research/umls/rxnorm,1422081,Enskyce 28 Day Pack,,code-search,,1422081,Enskyce 28 Day Pack,0.85,ok,FSN matches input exactly
